hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,9.1,1.036,19.1,4.95,2080.0,14.04,Mixed-Culture 50
0.5,9.2,1.037,19.55,5.32,2354.0,10.375,Mixed-Culture 50
1.0,9.3,1.037,19.5,5.43,2318.0,8.75,Mixed-Culture 50
1.5,9.25,1.037,19.5,5.445,2317.0,7.45,Mixed-Culture 50
2.0,9.2,1.037,19.5,5.45,2311.0,6.59,Mixed-Culture 50
2.5,9.2,1.037,19.4,5.45,2308.5,5.5,Mixed-Culture 50
3.0,9.3,1.037,19.4,5.47,2308.0,4.62,Mixed-Culture 50
3.5,9.3,1.037,19.3,5.425,2302.5,3.51,Mixed-Culture 50
4.0,9.2,1.037,19.3,5.47,2305.0,2.64,Mixed-Culture 50
4.5,9.2,1.037,19.3,5.43,2300.0,2.455,Mixed-Culture 50
5.0,9.2,1.037,19.3,5.46,2300.0,2.34,Mixed-Culture 50
5.5,9.2,1.037,19.3,5.395,2293.5,2.3,Mixed-Culture 50
6.0,9.2,1.037,19.2,5.44,2294.0,2.14,Mixed-Culture 50
6.5,9.2,1.037,19.2,5.395,2294.0,2.11,Mixed-Culture 50
7.0,9.2,1.037,19.1,5.35,2293.0,2.01,Mixed-Culture 50
7.5,9.2,1.037,19.1,5.365,2289.5,1.99,Mixed-Culture 50
8.0,9.1,1.036,19.1,5.37,2284.0,2.05,Mixed-Culture 50
8.5,9.2,1.037,19.05,5.32,2282.5,1.94,Mixed-Culture 50
9.0,9.2,1.037,19.0,5.28,2278.0,1.86,Mixed-Culture 50
9.5,9.1,1.036,18.85,5.285,2274.5,1.86,Mixed-Culture 50
10.0,9.1,1.036,18.6,5.25,2261.0,1.75,Mixed-Culture 50
10.5,9.1,1.036,18.5,5.18,2258.5,1.75,Mixed-Culture 50
11.0,9.1,1.036,18.5,5.15,2253.0,1.71,Mixed-Culture 50
11.5,9.1,1.036,18.5,5.17,2245.0,1.7,Mixed-Culture 50
12.0,9.1,1.036,18.5,5.16,2234.0,1.66,Mixed-Culture 50
12.5,9.1,1.036,18.5,5.13,2233.5,1.67,Mixed-Culture 50
13.0,9.1,1.036,18.5,5.13,2233.0,1.59,Mixed-Culture 50
13.5,9.2,1.037,18.5,5.1,2209.0,1.635,Mixed-Culture 50
14.0,9.1,1.036,18.5,5.04,2199.0,1.56,Mixed-Culture 50
14.5,9.1,1.036,18.5,5.055,2196.5,1.545,Mixed-Culture 50
