hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,9.4,1.038,19.7,4.56,2885.0,18.93,SHU IPA
0.5,9.539,1.038,19.7,4.991,2671.576,16.86,SHU IPA
1.0,9.5,1.038,19.7,5.096,2638.818,17.721,SHU IPA
1.5,9.5,1.038,19.7,5.072,2615.485,16.03,SHU IPA
2.0,9.5,1.038,19.709,5.088,2595.364,14.93,SHU IPA
2.5,9.5,1.038,19.8,5.1,2582.939,14.075,SHU IPA
3.0,9.5,1.038,19.791,5.096,2576.636,14.004,SHU IPA
3.5,9.5,1.038,19.7,5.06,2571.788,13.846,SHU IPA
4.0,9.4,1.038,19.709,5.024,2564.909,13.594,SHU IPA
4.5,9.4,1.038,19.8,5.054,2562.182,14.888,SHU IPA
5.0,9.4,1.038,19.8,4.98,2552.0,14.539,SHU IPA
5.5,9.339,1.037,19.8,4.98,2537.758,13.494,SHU IPA
6.0,9.391,1.038,19.8,4.953,2512.727,10.14,SHU IPA
6.5,9.361,1.038,19.8,4.962,2487.273,6.331,SHU IPA
7.0,9.309,1.037,19.9,4.921,2471.909,4.451,SHU IPA
7.5,9.339,1.037,19.9,4.924,2446.758,3.602,SHU IPA
8.0,9.3,1.037,19.9,4.878,2438.909,3.815,SHU IPA
8.5,9.3,1.037,19.9,4.848,2418.0,3.099,SHU IPA
9.0,9.291,1.037,19.9,4.878,2395.0,2.923,SHU IPA
9.5,9.261,1.037,19.9,4.854,2415.0,2.717,SHU IPA
10.0,9.3,1.037,19.873,4.849,2403.727,2.499,SHU IPA
10.5,9.3,1.037,19.6,4.828,2408.879,3.966,SHU IPA
11.0,9.227,1.037,19.6,4.819,2403.909,5.042,SHU IPA
11.5,9.379,1.037,19.6,4.804,2410.576,4.387,SHU IPA
12.0,9.2,1.037,19.6,4.739,2402.727,3.913,SHU IPA
12.5,9.261,1.037,19.6,4.76,2398.182,3.576,SHU IPA
13.0,9.091,1.036,19.6,4.747,2396.909,3.211,SHU IPA
13.5,9.0,1.036,19.661,4.738,2392.061,2.768,SHU IPA
14.0,9.0,1.036,19.7,4.711,2350.091,2.504,SHU IPA
14.5,9.0,1.036,19.7,4.714,2339.788,2.243,SHU IPA
15.0,8.9,1.035,19.7,4.701,2335.0,2.187,SHU IPA
15.5,8.9,1.035,19.761,4.692,2341.364,2.005,SHU IPA
16.0,8.8,1.035,19.8,4.67,2337.091,1.882,SHU IPA
16.5,8.8,1.035,19.861,4.652,2334.364,1.812,SHU IPA
17.0,8.7,1.035,19.9,4.669,2335.091,1.74,SHU IPA
17.5,8.7,1.035,19.839,4.63,2334.788,1.71,SHU IPA
18.0,8.6,1.034,19.6,4.608,2334.545,1.591,SHU IPA
18.5,8.6,1.034,19.6,4.62,2334.242,1.552,SHU IPA
19.0,8.5,1.034,19.7,4.612,2335.364,1.485,SHU IPA
19.5,8.5,1.034,19.7,4.624,2329.0,1.494,SHU IPA
20.0,8.4,1.033,19.7,4.598,2331.545,1.385,SHU IPA
20.5,8.4,1.033,19.7,4.58,2335.788,1.369,SHU IPA
21.0,8.3,1.033,19.791,4.578,2331.273,1.321,SHU IPA
21.5,8.239,1.033,19.579,4.548,2318.545,1.306,SHU IPA
22.0,8.191,1.033,19.6,4.58,2324.182,1.288,SHU IPA
22.5,8.1,1.032,19.6,4.574,2377.818,1.282,SHU IPA
23.0,8.0,1.032,19.609,4.511,2376.273,1.261,SHU IPA
23.5,7.939,1.031,19.7,4.496,2375.364,1.24,SHU IPA
24.0,7.891,1.031,19.8,4.518,2374.182,1.198,SHU IPA
24.5,7.8,1.031,19.618,4.488,2368.727,1.18,SHU IPA
25.0,7.7,1.031,19.6,4.487,2371.909,1.241,SHU IPA
25.5,7.639,1.03,19.6,4.442,2368.576,1.202,SHU IPA
26.0,7.591,1.03,19.7,4.461,2364.818,1.173,SHU IPA
26.5,7.5,1.03,19.7,4.464,2360.576,1.182,SHU IPA
27.0,7.391,1.029,19.8,4.431,2351.818,1.155,SHU IPA
27.5,7.3,1.029,19.618,4.422,2341.515,1.118,SHU IPA
28.0,7.2,1.029,19.509,4.439,2325.727,1.154,SHU IPA
28.5,7.139,1.028,19.6,4.418,2349.364,1.084,SHU IPA
29.0,7.1,1.028,19.609,4.401,2343.0,1.06,SHU IPA
29.5,7.039,1.028,19.7,4.368,2343.0,1.06,SHU IPA
30.0,6.9,1.027,19.773,4.397,2334.0,1.072,SHU IPA
30.5,6.839,1.027,19.5,4.346,2328.848,1.066,SHU IPA
31.0,6.791,1.027,19.6,4.365,2335.455,1.013,SHU IPA
31.5,6.7,1.027,19.6,4.35,2330.0,1.034,SHU IPA
32.0,6.6,1.026,19.609,4.356,2312.273,0.935,SHU IPA
32.5,6.539,1.026,19.7,4.332,2314.091,0.968,SHU IPA
33.0,6.491,1.026,19.8,4.325,2318.545,0.991,SHU IPA
33.5,6.4,1.025,19.679,4.286,2306.727,0.918,SHU IPA
34.0,6.391,1.025,19.6,4.284,2310.0,0.915,SHU IPA
34.5,6.239,1.024,19.6,4.278,2311.212,0.876,SHU IPA
35.0,6.191,1.024,19.7,4.299,2305.727,0.871,SHU IPA
35.5,6.1,1.024,19.7,4.266,2299.061,0.874,SHU IPA
36.0,6.0,1.024,19.8,4.258,2303.091,0.808,SHU IPA
36.5,5.939,1.023,19.8,4.228,2302.788,0.808,SHU IPA
37.0,5.891,1.023,19.6,4.258,2283.636,0.829,SHU IPA
37.5,5.8,1.023,19.6,4.258,2279.394,0.814,SHU IPA
38.0,5.791,1.023,19.609,4.214,2288.455,0.817,SHU IPA
38.5,5.7,1.022,19.7,4.232,2285.424,0.826,SHU IPA
39.0,5.691,1.022,19.7,4.241,2251.0,0.825,SHU IPA
39.5,5.6,1.022,19.761,4.25,2280.394,0.8,SHU IPA
40.0,5.5,1.022,19.8,4.222,2282.727,0.835,SHU IPA
40.5,5.439,1.021,19.679,4.24,2272.727,0.792,SHU IPA
41.0,5.4,1.021,19.6,4.181,2286.273,0.788,SHU IPA
41.5,5.4,1.021,19.6,4.214,2260.515,0.758,SHU IPA
42.0,5.3,1.021,19.609,4.184,2266.455,0.805,SHU IPA
42.5,5.239,1.02,19.7,4.226,2253.424,0.778,SHU IPA
43.0,5.191,1.02,19.7,4.174,2265.0,0.8,SHU IPA
43.5,5.1,1.02,19.761,4.216,2246.212,0.788,SHU IPA
44.0,5.0,1.02,19.8,4.165,2258.091,0.789,SHU IPA
44.5,5.0,1.02,19.861,4.18,2251.727,0.786,SHU IPA
45.0,5.0,1.02,19.682,4.178,2250.364,0.773,SHU IPA
45.5,4.939,1.019,19.561,4.19,2245.515,0.782,SHU IPA
46.0,4.891,1.019,19.6,4.205,2234.727,0.781,SHU IPA
46.5,4.8,1.019,19.6,4.186,2235.03,0.76,SHU IPA
47.0,4.7,1.018,19.609,4.2,2199.909,0.751,SHU IPA
47.5,4.7,1.018,19.7,4.206,2234.455,0.76,SHU IPA
48.0,4.6,1.018,19.7,4.164,2225.182,0.935,SHU IPA
48.5,4.6,1.018,19.7,4.2,2194.576,1.096,SHU IPA
49.0,4.591,1.018,19.7,4.19,2185.545,1.035,SHU IPA
49.5,4.5,1.018,19.761,4.166,2235.848,1.056,SHU IPA
50.0,4.4,1.017,19.8,4.197,2223.0,1.017,SHU IPA
50.5,4.4,1.017,19.861,4.158,2216.03,1.014,SHU IPA
51.0,4.391,1.017,19.591,4.152,2169.636,0.991,SHU IPA
51.5,4.3,1.017,19.561,4.176,2206.606,0.982,SHU IPA
52.0,4.2,1.016,19.6,4.179,2222.273,1.005,SHU IPA
52.5,4.2,1.016,19.6,4.164,2185.0,0.99,SHU IPA
53.0,4.191,1.016,19.6,4.173,2184.182,0.923,SHU IPA
53.5,4.1,1.016,19.661,4.2,2188.727,0.932,SHU IPA
54.0,4.109,1.016,19.7,4.144,2155.727,0.953,SHU IPA
54.5,4.139,1.016,19.7,4.174,2174.212,0.974,SHU IPA
55.0,4.0,1.016,19.7,4.196,2181.0,0.933,SHU IPA
55.5,3.939,1.015,19.7,4.184,2184.333,0.966,SHU IPA
56.0,3.9,1.015,19.709,4.149,2198.091,0.95,SHU IPA
56.5,3.9,1.015,19.8,4.14,2185.97,0.962,SHU IPA
57.0,3.8,1.015,19.8,4.15,2216.636,0.918,SHU IPA
57.5,3.8,1.015,19.8,4.144,2180.273,0.894,SHU IPA
