hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.3,1.05,18.5,5.68,2157.0,5.32,Mixed-Culture 50
0.5,12.3,1.05,18.3,5.65,2154.061,5.054,Mixed-Culture 50
1.0,12.3,1.05,18.3,5.64,2156.0,5.22,Mixed-Culture 50
1.5,12.3,1.05,18.348,5.655,2154.515,5.055,Mixed-Culture 50
2.0,12.3,1.05,18.4,5.65,2155.0,5.2,Mixed-Culture 50
2.5,12.3,1.05,18.5,5.635,2155.939,5.147,Mixed-Culture 50
3.0,12.3,1.05,18.6,5.66,2156.0,5.03,Mixed-Culture 50
3.5,12.3,1.05,18.455,5.64,2148.697,5.104,Mixed-Culture 50
4.0,12.3,1.05,18.4,5.66,2154.0,5.06,Mixed-Culture 50
4.5,12.3,1.05,18.448,5.645,2155.0,5.215,Mixed-Culture 50
5.0,12.3,1.05,18.5,5.64,2157.0,4.98,Mixed-Culture 50
5.5,12.3,1.05,18.455,5.61,2153.667,4.961,Mixed-Culture 50
6.0,12.3,1.05,18.3,5.61,2157.0,4.98,Mixed-Culture 50
6.5,12.3,1.05,18.4,5.59,2157.515,4.959,Mixed-Culture 50
7.0,12.3,1.05,18.5,5.59,2162.0,4.96,Mixed-Culture 50
7.5,12.3,1.05,18.548,5.595,2163.485,4.862,Mixed-Culture 50
8.0,12.3,1.05,18.4,5.56,2153.0,5.06,Mixed-Culture 50
8.5,12.3,1.05,18.348,5.565,2162.909,4.802,Mixed-Culture 50
9.0,12.3,1.05,18.4,5.54,2169.0,4.98,Mixed-Culture 50
9.5,12.3,1.05,18.448,5.52,2169.515,4.952,Mixed-Culture 50
10.0,12.3,1.05,18.5,5.52,2174.0,4.75,Mixed-Culture 50
10.5,12.3,1.05,18.3,5.5,2168.848,4.978,Mixed-Culture 50
11.0,12.3,1.05,18.3,5.45,2177.0,4.91,Mixed-Culture 50
11.5,12.3,1.05,18.4,5.44,2180.939,4.734,Mixed-Culture 50
12.0,12.3,1.05,18.4,5.42,2187.0,4.86,Mixed-Culture 50
12.5,12.3,1.05,18.5,5.385,2190.879,4.685,Mixed-Culture 50
13.0,12.3,1.05,18.2,5.36,2181.0,4.49,Mixed-Culture 50
13.5,12.3,1.05,18.3,5.33,2199.364,4.589,Mixed-Culture 50
14.0,12.3,1.05,18.3,5.31,2205.0,4.54,Mixed-Culture 50
14.5,12.3,1.05,18.4,5.325,2209.455,4.443,Mixed-Culture 50
15.0,12.3,1.05,18.5,5.27,2213.0,4.31,Mixed-Culture 50
15.5,12.252,1.05,18.303,5.275,2212.03,4.114,Mixed-Culture 50
16.0,12.2,1.049,18.2,5.24,2224.0,4.19,Mixed-Culture 50
16.5,12.3,1.05,18.3,5.245,2222.03,4.003,Mixed-Culture 50
17.0,12.3,1.05,18.3,5.22,2224.0,4.07,Mixed-Culture 50
17.5,12.3,1.05,18.4,5.21,2228.939,3.997,Mixed-Culture 50
18.0,12.3,1.05,18.3,5.2,2228.0,3.87,Mixed-Culture 50
18.5,12.252,1.05,18.148,5.2,2227.879,3.878,Mixed-Culture 50
19.0,12.3,1.05,18.2,5.21,2236.0,3.9,Mixed-Culture 50
19.5,12.3,1.05,18.3,5.17,2241.455,3.526,Mixed-Culture 50
20.0,12.3,1.05,18.3,5.18,2246.0,3.69,Mixed-Culture 50
20.5,12.252,1.05,18.4,5.165,2248.03,3.575,Mixed-Culture 50
21.0,12.3,1.05,18.1,5.16,2237.0,3.61,Mixed-Culture 50
21.5,12.3,1.05,18.2,5.155,2249.939,3.579,Mixed-Culture 50
22.0,12.3,1.05,18.3,5.14,2255.0,3.67,Mixed-Culture 50
22.5,12.3,1.05,18.3,5.16,2251.939,3.514,Mixed-Culture 50
23.0,12.3,1.05,18.4,5.17,2257.0,3.51,Mixed-Culture 50
23.5,12.252,1.05,18.148,5.145,2254.333,3.616,Mixed-Culture 50
24.0,12.3,1.05,18.2,5.16,2262.0,3.38,Mixed-Culture 50
24.5,12.3,1.05,18.3,5.145,2264.97,3.507,Mixed-Culture 50
25.0,12.2,1.049,18.4,5.15,2267.0,3.45,Mixed-Culture 50
25.5,12.3,1.05,18.303,5.135,2260.091,3.438,Mixed-Culture 50
26.0,12.3,1.05,18.2,5.16,2271.0,3.52,Mixed-Culture 50
26.5,12.3,1.05,18.248,5.13,2271.0,3.437,Mixed-Culture 50
27.0,12.3,1.05,18.3,5.17,2273.0,3.56,Mixed-Culture 50
27.5,12.3,1.05,18.4,5.16,2272.515,3.488,Mixed-Culture 50
28.0,12.3,1.05,18.2,5.14,2262.0,3.49,Mixed-Culture 50
28.5,12.3,1.05,18.248,5.16,2277.455,3.372,Mixed-Culture 50
29.0,12.3,1.05,18.3,5.15,2279.0,3.41,Mixed-Culture 50
29.5,12.3,1.05,18.348,5.175,2282.0,3.32,Mixed-Culture 50
30.0,12.3,1.05,18.1,5.19,2269.0,3.28,Mixed-Culture 50
30.5,12.3,1.05,18.2,5.185,2280.939,3.373,Mixed-Culture 50
31.0,12.3,1.05,18.3,5.19,2281.0,3.42,Mixed-Culture 50
31.5,12.3,1.05,18.3,5.189,2284.0,3.326,Mixed-Culture 50
32.0,12.3,1.05,18.4,5.2,2285.0,3.21,Mixed-Culture 50
32.5,12.3,1.05,18.148,5.215,2280.364,3.155,Mixed-Culture 50
33.0,12.3,1.05,18.2,5.23,2286.0,3.4,Mixed-Culture 50
33.5,12.3,1.05,18.248,5.224,2287.0,2.502,Mixed-Culture 50
34.0,12.3,1.05,18.3,5.22,2288.0,2.24,Mixed-Culture 50
34.5,12.252,1.05,18.1,5.239,2279.879,2.347,Mixed-Culture 50
35.0,12.2,1.049,18.1,5.24,2281.0,2.36,Mixed-Culture 50
35.5,12.2,1.049,18.2,5.255,2278.97,2.547,Mixed-Culture 50
36.0,12.2,1.049,18.2,5.25,2279.0,2.74,Mixed-Culture 50
36.5,12.152,1.049,18.103,5.269,2269.152,3.269,Mixed-Culture 50
37.0,12.2,1.049,18.1,5.28,2278.0,3.8,Mixed-Culture 50
37.5,12.148,1.049,18.1,5.3,2276.576,3.945,Mixed-Culture 50
38.0,12.0,1.048,18.0,5.32,2265.0,4.14,Mixed-Culture 50
38.5,12.152,1.049,18.048,5.315,2272.97,4.309,Mixed-Culture 50
39.0,12.1,1.049,18.1,5.31,2271.0,4.09,Mixed-Culture 50
39.5,12.152,1.049,18.1,5.36,2270.121,4.454,Mixed-Culture 50
40.0,12.0,1.048,18.1,5.34,2272.0,4.29,Mixed-Culture 50
40.5,12.103,1.049,18.103,5.385,2270.667,4.268,Mixed-Culture 50
41.0,12.1,1.049,17.9,5.4,2273.0,4.24,Mixed-Culture 50
41.5,12.1,1.049,17.852,5.394,2277.455,4.104,Mixed-Culture 50
42.0,12.0,1.048,17.8,5.41,2283.0,4.08,Mixed-Culture 50
42.5,11.952,1.048,17.9,5.43,2290.333,4.222,Mixed-Culture 50
43.0,12.1,1.049,18.0,5.41,2293.0,4.26,Mixed-Culture 50
