hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,11.9,1.048,21.0,SHU IPA
0.5,11.885,1.048,20.901,SHU IPA
1.0,11.869,1.048,20.801,SHU IPA
1.5,11.854,1.048,20.702,SHU IPA
2.0,11.839,1.048,20.602,SHU IPA
2.5,11.824,1.048,20.503,SHU IPA
3.0,11.808,1.048,20.404,SHU IPA
3.5,11.793,1.047,20.304,SHU IPA
4.0,11.778,1.047,20.205,SHU IPA
4.5,11.762,1.047,20.106,SHU IPA
5.0,11.747,1.047,20.006,SHU IPA
5.5,11.732,1.047,19.907,SHU IPA
6.0,11.717,1.047,19.807,SHU IPA
6.5,11.701,1.047,19.708,SHU IPA
7.0,11.675,1.047,19.711,SHU IPA
7.5,11.647,1.047,19.723,SHU IPA
8.0,11.619,1.047,19.735,SHU IPA
8.5,11.592,1.047,19.746,SHU IPA
9.0,11.564,1.046,19.758,SHU IPA
9.5,11.536,1.046,19.77,SHU IPA
10.0,11.509,1.046,19.782,SHU IPA
10.5,11.481,1.046,19.794,SHU IPA
11.0,11.454,1.046,19.806,SHU IPA
11.5,11.426,1.046,19.817,SHU IPA
12.0,11.398,1.046,19.829,SHU IPA
12.5,11.371,1.046,19.841,SHU IPA
13.0,11.343,1.045,19.853,SHU IPA
13.5,11.315,1.045,19.865,SHU IPA
14.0,11.288,1.045,19.877,SHU IPA
14.5,11.26,1.045,19.888,SHU IPA
15.0,11.233,1.045,19.9,SHU IPA
15.5,11.205,1.045,19.912,SHU IPA
16.0,11.177,1.045,19.924,SHU IPA
16.5,11.15,1.045,19.936,SHU IPA
17.0,11.122,1.045,19.948,SHU IPA
17.5,11.094,1.044,19.96,SHU IPA
18.0,11.067,1.044,19.971,SHU IPA
18.5,11.039,1.044,19.983,SHU IPA
19.0,11.012,1.044,19.995,SHU IPA
19.5,10.985,1.044,20.009,SHU IPA
20.0,10.958,1.044,20.025,SHU IPA
20.5,10.932,1.044,20.041,SHU IPA
21.0,10.905,1.044,20.057,SHU IPA
21.5,10.879,1.044,20.073,SHU IPA
22.0,10.852,1.043,20.089,SHU IPA
22.5,10.826,1.043,20.105,SHU IPA
23.0,10.799,1.043,20.121,SHU IPA
23.5,10.773,1.043,20.136,SHU IPA
24.0,10.746,1.043,20.152,SHU IPA
24.5,10.72,1.043,20.168,SHU IPA
25.0,10.693,1.043,20.184,SHU IPA
25.5,10.666,1.043,20.2,SHU IPA
26.0,10.64,1.043,20.216,SHU IPA
26.5,10.613,1.042,20.232,SHU IPA
27.0,10.587,1.042,20.248,SHU IPA
27.5,10.56,1.042,20.264,SHU IPA
28.0,10.534,1.042,20.28,SHU IPA
28.5,10.507,1.042,20.296,SHU IPA
29.0,10.462,1.042,20.308,SHU IPA
29.5,10.409,1.042,20.318,SHU IPA
30.0,10.356,1.041,20.329,SHU IPA
30.5,10.303,1.041,20.339,SHU IPA
31.0,10.25,1.041,20.35,SHU IPA
31.5,10.197,1.041,20.361,SHU IPA
32.0,10.144,1.041,20.371,SHU IPA
32.5,10.091,1.04,20.382,SHU IPA
33.0,10.038,1.04,20.392,SHU IPA
33.5,9.985,1.04,20.403,SHU IPA
34.0,9.932,1.04,20.414,SHU IPA
34.5,9.879,1.04,20.424,SHU IPA
35.0,9.826,1.039,20.435,SHU IPA
35.5,9.773,1.039,20.445,SHU IPA
36.0,9.72,1.039,20.456,SHU IPA
36.5,9.667,1.039,20.467,SHU IPA
37.0,9.614,1.038,20.477,SHU IPA
37.5,9.561,1.038,20.488,SHU IPA
38.0,9.508,1.038,20.498,SHU IPA
38.5,9.456,1.038,20.509,SHU IPA
39.0,9.403,1.038,20.519,SHU IPA
39.5,9.35,1.037,20.53,SHU IPA
40.0,9.297,1.037,20.541,SHU IPA
40.5,9.244,1.037,20.551,SHU IPA
41.0,9.191,1.037,20.562,SHU IPA
41.5,9.138,1.037,20.572,SHU IPA
42.0,9.085,1.036,20.583,SHU IPA
42.5,9.032,1.036,20.594,SHU IPA
43.0,8.979,1.036,20.604,SHU IPA
43.5,8.926,1.036,20.615,SHU IPA
44.0,8.873,1.035,20.625,SHU IPA
44.5,8.82,1.035,20.636,SHU IPA
45.0,8.767,1.035,20.647,SHU IPA
45.5,8.714,1.035,20.657,SHU IPA
46.0,8.661,1.035,20.668,SHU IPA
46.5,8.608,1.034,20.678,SHU IPA
47.0,8.555,1.034,20.689,SHU IPA
47.5,8.502,1.034,20.7,SHU IPA
48.0,8.423,1.034,20.683,SHU IPA
48.5,8.343,1.033,20.665,SHU IPA
49.0,8.263,1.033,20.647,SHU IPA
49.5,8.183,1.033,20.63,SHU IPA
50.0,8.104,1.032,20.612,SHU IPA
50.5,8.024,1.032,20.594,SHU IPA
51.0,7.944,1.032,20.576,SHU IPA
51.5,7.864,1.031,20.559,SHU IPA
52.0,7.784,1.031,20.541,SHU IPA
52.5,7.704,1.03,20.523,SHU IPA
53.0,7.624,1.03,20.505,SHU IPA
53.5,7.562,1.03,20.495,SHU IPA
54.0,7.507,1.03,20.488,SHU IPA
54.5,7.453,1.029,20.48,SHU IPA
55.0,7.398,1.029,20.473,SHU IPA
55.5,7.343,1.029,20.466,SHU IPA
56.0,7.289,1.029,20.459,SHU IPA
56.5,7.234,1.029,20.451,SHU IPA
57.0,7.18,1.028,20.444,SHU IPA
57.5,7.125,1.028,20.437,SHU IPA
58.0,7.071,1.028,20.429,SHU IPA
58.5,7.016,1.028,20.422,SHU IPA
59.0,6.961,1.027,20.415,SHU IPA
59.5,6.907,1.027,20.408,SHU IPA
60.0,6.852,1.027,20.4,SHU IPA
60.5,6.798,1.027,20.393,SHU IPA
61.0,6.743,1.027,20.386,SHU IPA
61.5,6.688,1.026,20.378,SHU IPA
62.0,6.634,1.026,20.371,SHU IPA
62.5,6.579,1.026,20.364,SHU IPA
63.0,6.525,1.026,20.357,SHU IPA
63.5,6.47,1.025,20.349,SHU IPA
64.0,6.416,1.025,20.342,SHU IPA
64.5,6.361,1.025,20.335,SHU IPA
65.0,6.306,1.025,20.328,SHU IPA
65.5,6.252,1.025,20.32,SHU IPA
66.0,6.197,1.024,20.313,SHU IPA
66.5,6.143,1.024,20.306,SHU IPA
67.0,6.096,1.024,20.296,SHU IPA
67.5,6.077,1.024,20.277,SHU IPA
68.0,6.059,1.024,20.259,SHU IPA
68.5,6.041,1.024,20.241,SHU IPA
69.0,6.022,1.024,20.222,SHU IPA
69.5,6.004,1.024,20.204,SHU IPA
70.0,5.985,1.024,20.185,SHU IPA
70.5,5.967,1.023,20.167,SHU IPA
71.0,5.948,1.023,20.148,SHU IPA
71.5,5.93,1.023,20.13,SHU IPA
72.0,5.911,1.023,20.111,SHU IPA
72.5,5.893,1.023,20.093,SHU IPA
73.0,5.874,1.023,20.074,SHU IPA
73.5,5.856,1.023,20.056,SHU IPA
74.0,5.837,1.023,20.037,SHU IPA
74.5,5.819,1.023,20.019,SHU IPA
75.0,5.801,1.023,20.001,SHU IPA
75.5,5.782,1.023,19.982,SHU IPA
76.0,5.764,1.023,19.964,SHU IPA
76.5,5.745,1.023,19.945,SHU IPA
77.0,5.727,1.023,19.927,SHU IPA
77.5,5.708,1.022,19.908,SHU IPA
78.0,5.69,1.022,19.89,SHU IPA
78.5,5.671,1.022,19.871,SHU IPA
79.0,5.653,1.022,19.853,SHU IPA
79.5,5.634,1.022,19.834,SHU IPA
80.0,5.616,1.022,19.816,SHU IPA
80.5,5.593,1.022,19.798,SHU IPA
81.0,5.543,1.022,19.783,SHU IPA
81.5,5.493,1.022,19.768,SHU IPA
82.0,5.443,1.021,19.753,SHU IPA
82.5,5.393,1.021,19.738,SHU IPA
83.0,5.343,1.021,19.723,SHU IPA
83.5,5.293,1.021,19.708,SHU IPA
84.0,5.243,1.021,19.693,SHU IPA
84.5,5.193,1.02,19.678,SHU IPA
85.0,5.143,1.02,19.663,SHU IPA
85.5,5.093,1.02,19.648,SHU IPA
86.0,5.043,1.02,19.633,SHU IPA
86.5,4.993,1.02,19.618,SHU IPA
87.0,4.943,1.019,19.603,SHU IPA
87.5,4.893,1.019,19.588,SHU IPA
88.0,4.843,1.019,19.573,SHU IPA
88.5,4.793,1.019,19.558,SHU IPA
89.0,4.743,1.019,19.543,SHU IPA
89.5,4.693,1.018,19.528,SHU IPA
90.0,4.643,1.018,19.513,SHU IPA
90.5,4.597,1.018,19.501,SHU IPA
91.0,4.58,1.018,19.508,SHU IPA
91.5,4.562,1.018,19.515,SHU IPA
92.0,4.544,1.018,19.523,SHU IPA
92.5,4.526,1.018,19.53,SHU IPA
93.0,4.508,1.018,19.537,SHU IPA
93.5,4.49,1.018,19.544,SHU IPA
94.0,4.472,1.017,19.551,SHU IPA
94.5,4.454,1.017,19.558,SHU IPA
95.0,4.436,1.017,19.566,SHU IPA
95.5,4.418,1.017,19.573,SHU IPA
96.0,4.4,1.017,19.58,SHU IPA
96.5,4.382,1.017,19.587,SHU IPA
97.0,4.364,1.017,19.594,SHU IPA
97.5,4.346,1.017,19.602,SHU IPA
98.0,4.328,1.017,19.609,SHU IPA
98.5,4.31,1.017,19.616,SHU IPA
99.0,4.292,1.017,19.623,SHU IPA
99.5,4.274,1.017,19.63,SHU IPA
100.0,4.256,1.017,19.637,SHU IPA
100.5,4.239,1.017,19.645,SHU IPA
101.0,4.221,1.016,19.652,SHU IPA
101.5,4.203,1.016,19.659,SHU IPA
102.0,4.185,1.016,19.666,SHU IPA
102.5,4.167,1.016,19.673,SHU IPA
103.0,4.149,1.016,19.68,SHU IPA
103.5,4.131,1.016,19.688,SHU IPA
104.0,4.113,1.016,19.695,SHU IPA
104.5,4.092,1.016,19.7,SHU IPA
105.0,4.065,1.016,19.7,SHU IPA
105.5,4.038,1.016,19.7,SHU IPA
106.0,4.011,1.016,19.7,SHU IPA
106.5,3.984,1.016,19.7,SHU IPA
107.0,3.957,1.015,19.7,SHU IPA
107.5,3.929,1.015,19.7,SHU IPA
108.0,3.902,1.015,19.7,SHU IPA
108.5,3.875,1.015,19.7,SHU IPA
109.0,3.848,1.015,19.7,SHU IPA
109.5,3.821,1.015,19.7,SHU IPA
110.0,3.793,1.015,19.7,SHU IPA
110.5,3.766,1.015,19.7,SHU IPA
111.0,3.739,1.015,19.7,SHU IPA
111.5,3.712,1.014,19.7,SHU IPA
