hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,12.4,1.05,20.0,Mixed-Culture 67
0.5,12.385,1.05,19.973,Mixed-Culture 67
1.0,12.371,1.05,19.947,Mixed-Culture 67
1.5,12.356,1.05,19.92,Mixed-Culture 67
2.0,12.341,1.05,19.894,Mixed-Culture 67
2.5,12.326,1.05,19.867,Mixed-Culture 67
3.0,12.312,1.05,19.841,Mixed-Culture 67
3.5,12.297,1.05,19.814,Mixed-Culture 67
4.0,12.282,1.05,19.788,Mixed-Culture 67
4.5,12.267,1.049,19.761,Mixed-Culture 67
5.0,12.253,1.049,19.735,Mixed-Culture 67
5.5,12.238,1.049,19.708,Mixed-Culture 67
6.0,12.223,1.049,19.682,Mixed-Culture 67
6.5,12.208,1.049,19.655,Mixed-Culture 67
7.0,12.194,1.049,19.629,Mixed-Culture 67
7.5,12.179,1.049,19.602,Mixed-Culture 67
8.0,12.164,1.049,19.575,Mixed-Culture 67
8.5,12.149,1.049,19.549,Mixed-Culture 67
9.0,12.135,1.049,19.522,Mixed-Culture 67
9.5,12.12,1.049,19.496,Mixed-Culture 67
10.0,12.105,1.049,19.469,Mixed-Culture 67
10.5,12.09,1.049,19.443,Mixed-Culture 67
11.0,12.076,1.049,19.416,Mixed-Culture 67
11.5,12.061,1.049,19.39,Mixed-Culture 67
12.0,12.046,1.049,19.363,Mixed-Culture 67
12.5,12.031,1.049,19.337,Mixed-Culture 67
13.0,12.017,1.048,19.31,Mixed-Culture 67
13.5,12.002,1.048,19.284,Mixed-Culture 67
14.0,11.987,1.048,19.257,Mixed-Culture 67
14.5,11.973,1.048,19.231,Mixed-Culture 67
15.0,11.958,1.048,19.204,Mixed-Culture 67
15.5,11.943,1.048,19.177,Mixed-Culture 67
16.0,11.928,1.048,19.151,Mixed-Culture 67
16.5,11.914,1.048,19.124,Mixed-Culture 67
17.0,11.897,1.048,19.1,Mixed-Culture 67
17.5,11.855,1.048,19.1,Mixed-Culture 67
18.0,11.813,1.048,19.1,Mixed-Culture 67
18.5,11.771,1.047,19.1,Mixed-Culture 67
19.0,11.729,1.047,19.1,Mixed-Culture 67
19.5,11.687,1.047,19.1,Mixed-Culture 67
20.0,11.645,1.047,19.1,Mixed-Culture 67
20.5,11.604,1.047,19.1,Mixed-Culture 67
21.0,11.562,1.046,19.1,Mixed-Culture 67
21.5,11.52,1.046,19.1,Mixed-Culture 67
22.0,11.478,1.046,19.1,Mixed-Culture 67
22.5,11.436,1.046,19.1,Mixed-Culture 67
23.0,11.394,1.046,19.1,Mixed-Culture 67
23.5,11.352,1.046,19.1,Mixed-Culture 67
24.0,11.311,1.045,19.1,Mixed-Culture 67
24.5,11.269,1.045,19.1,Mixed-Culture 67
25.0,11.227,1.045,19.1,Mixed-Culture 67
25.5,11.185,1.045,19.1,Mixed-Culture 67
26.0,11.143,1.045,19.1,Mixed-Culture 67
26.5,11.101,1.044,19.1,Mixed-Culture 67
27.0,11.059,1.044,19.1,Mixed-Culture 67
27.5,11.018,1.044,19.1,Mixed-Culture 67
28.0,10.942,1.044,19.123,Mixed-Culture 67
28.5,10.843,1.043,19.163,Mixed-Culture 67
29.0,10.744,1.043,19.203,Mixed-Culture 67
29.5,10.644,1.043,19.242,Mixed-Culture 67
30.0,10.545,1.042,19.282,Mixed-Culture 67
30.5,10.446,1.042,19.322,Mixed-Culture 67
31.0,10.346,1.041,19.362,Mixed-Culture 67
31.5,10.247,1.041,19.401,Mixed-Culture 67
32.0,10.147,1.041,19.441,Mixed-Culture 67
