hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,11.9,1.048,21.3,SHU Lager
0.5,11.9,1.048,21.177,SHU Lager
1.0,11.9,1.048,21.053,SHU Lager
1.5,11.9,1.048,20.93,SHU Lager
2.0,11.9,1.048,20.807,SHU Lager
2.5,11.9,1.048,20.684,SHU Lager
3.0,11.9,1.048,20.56,SHU Lager
3.5,11.9,1.048,20.437,SHU Lager
4.0,11.9,1.048,20.314,SHU Lager
4.5,11.9,1.048,20.191,SHU Lager
5.0,11.9,1.048,20.067,SHU Lager
5.5,11.9,1.048,19.944,SHU Lager
6.0,11.9,1.048,19.821,SHU Lager
6.5,11.899,1.048,19.7,SHU Lager
7.0,11.864,1.048,19.724,SHU Lager
7.5,11.828,1.048,19.748,SHU Lager
8.0,11.793,1.048,19.771,SHU Lager
8.5,11.757,1.047,19.795,SHU Lager
9.0,11.722,1.047,19.819,SHU Lager
9.5,11.687,1.047,19.842,SHU Lager
10.0,11.651,1.047,19.866,SHU Lager
10.5,11.616,1.047,19.89,SHU Lager
11.0,11.58,1.047,19.913,SHU Lager
11.5,11.545,1.046,19.937,SHU Lager
12.0,11.509,1.046,19.961,SHU Lager
12.5,11.474,1.046,19.984,SHU Lager
13.0,11.438,1.046,20.008,SHU Lager
13.5,11.403,1.046,20.031,SHU Lager
14.0,11.367,1.046,20.055,SHU Lager
14.5,11.332,1.045,20.079,SHU Lager
15.0,11.296,1.045,20.102,SHU Lager
15.5,11.261,1.045,20.126,SHU Lager
16.0,11.226,1.045,20.15,SHU Lager
16.5,11.19,1.045,20.173,SHU Lager
17.0,11.155,1.045,20.197,SHU Lager
17.5,11.119,1.045,20.221,SHU Lager
18.0,11.084,1.044,20.244,SHU Lager
18.5,11.048,1.044,20.268,SHU Lager
19.0,11.013,1.044,20.291,SHU Lager
19.5,10.95,1.044,20.303,SHU Lager
20.0,10.871,1.043,20.309,SHU Lager
20.5,10.792,1.043,20.314,SHU Lager
21.0,10.714,1.043,20.319,SHU Lager
21.5,10.635,1.043,20.324,SHU Lager
