hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.2,1.049,23.3,5.55,2474.0,0.8,SHU IPA
0.5,12.2,1.049,23.0,5.54,2478.0,0.72,SHU IPA
1.0,12.2,1.049,22.9,5.54,2477.0,0.68,SHU IPA
1.5,12.2,1.049,22.8,5.54,2474.0,0.68,SHU IPA
2.0,12.2,1.049,22.6,5.53,2475.0,0.69,SHU IPA
2.5,12.2,1.049,22.7,5.53,2467.0,0.68,SHU IPA
3.0,12.2,1.049,22.6,5.52,2469.0,0.67,SHU IPA
3.5,12.2,1.049,22.6,5.52,2471.0,0.65,SHU IPA
4.0,12.2,1.049,22.6,5.5,2467.0,0.65,SHU IPA
4.5,12.2,1.049,22.6,5.49,2469.0,0.63,SHU IPA
5.0,12.2,1.049,22.6,5.48,2468.0,0.62,SHU IPA
5.5,12.134,1.049,22.5,5.46,2471.0,0.62,SHU IPA
6.0,12.166,1.049,22.5,5.45,2470.0,0.61,SHU IPA
6.5,12.2,1.049,22.6,5.44,2465.0,0.6,SHU IPA
7.0,12.134,1.049,22.6,5.43,2464.0,0.59,SHU IPA
7.5,12.1,1.049,22.4,5.42,2469.0,0.59,SHU IPA
8.0,12.1,1.049,22.4,5.4,2467.0,0.58,SHU IPA
8.5,12.166,1.049,22.4,5.39,2467.0,0.57,SHU IPA
9.0,12.134,1.049,22.4,5.38,2466.0,0.57,SHU IPA
9.5,12.1,1.049,22.4,5.37,2465.0,0.56,SHU IPA
10.0,12.1,1.049,22.4,5.36,2468.0,0.55,SHU IPA
10.5,12.1,1.049,22.4,5.34,2467.0,0.55,SHU IPA
11.0,12.1,1.049,22.3,5.33,2469.0,0.55,SHU IPA
11.5,12.1,1.049,22.4,5.32,2465.0,0.53,SHU IPA
12.0,12.1,1.049,22.4,5.31,2465.0,0.53,SHU IPA
12.5,12.166,1.049,22.3,5.3,2467.0,0.53,SHU IPA
13.0,12.2,1.049,22.3,5.27,2466.0,0.52,SHU IPA
13.5,12.2,1.049,22.2,5.25,2472.0,0.52,SHU IPA
14.0,12.2,1.049,22.2,5.23,2471.0,0.52,SHU IPA
14.5,12.2,1.049,22.2,5.22,2470.0,0.51,SHU IPA
15.0,12.134,1.049,22.3,5.2,2465.0,0.51,SHU IPA
15.5,12.1,1.049,22.2,5.19,2468.0,0.5,SHU IPA
16.0,12.1,1.049,22.3,5.17,2464.0,0.49,SHU IPA
16.5,12.1,1.049,22.3,5.16,2463.0,0.49,SHU IPA
17.0,12.1,1.049,22.2,5.14,2466.0,0.49,SHU IPA
17.5,12.1,1.049,22.3,5.12,2462.0,0.48,SHU IPA
18.0,12.1,1.049,22.2,5.11,2465.0,0.48,SHU IPA
18.5,12.1,1.049,22.2,5.09,2465.0,0.48,SHU IPA
19.0,12.1,1.049,22.1,5.1,2469.0,0.48,SHU IPA
19.5,12.034,1.048,22.2,5.1,2467.0,0.47,SHU IPA
20.0,12.0,1.048,22.3,5.07,2465.0,0.46,SHU IPA
20.5,12.0,1.048,22.3,5.05,2466.0,0.46,SHU IPA
21.0,12.0,1.048,22.2,5.03,2471.0,0.46,SHU IPA
21.5,12.0,1.048,22.3,5.03,2467.0,0.46,SHU IPA
22.0,12.0,1.048,22.3,5.02,2469.0,0.46,SHU IPA
22.5,12.066,1.049,22.3,5.01,2474.0,0.46,SHU IPA
23.0,11.968,1.048,22.4,4.99,2469.0,0.45,SHU IPA
23.5,11.9,1.048,22.4,4.97,2471.0,0.45,SHU IPA
24.0,11.9,1.048,22.4,4.96,2470.0,0.45,SHU IPA
24.5,11.9,1.048,22.5,4.95,2469.0,0.44,SHU IPA
25.0,11.9,1.048,22.5,4.94,2467.0,0.44,SHU IPA
25.5,11.834,1.048,22.5,4.93,2462.0,0.44,SHU IPA
26.0,11.8,1.048,22.6,4.91,2449.0,0.44,SHU IPA
26.5,11.8,1.048,22.6,4.92,2448.0,0.44,SHU IPA
27.0,11.734,1.047,22.6,4.91,2437.0,0.44,SHU IPA
27.5,11.634,1.047,22.5,4.92,2428.0,0.44,SHU IPA
