hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.1,1.049,21.3,5.39,2079.0,0.29,SHU Lager
0.5,12.1,1.049,21.3,5.405,2079.03,0.285,SHU Lager
1.0,12.1,1.049,21.3,5.38,2080.0,0.28,SHU Lager
1.5,12.1,1.049,21.3,5.375,2082.0,0.28,SHU Lager
2.0,12.1,1.049,21.3,5.35,2083.0,0.28,SHU Lager
2.5,12.1,1.049,21.3,5.315,2087.97,0.285,SHU Lager
3.0,12.1,1.049,21.3,5.31,2089.0,0.28,SHU Lager
3.5,12.1,1.049,21.348,5.275,2095.455,0.28,SHU Lager
4.0,12.1,1.049,21.3,5.25,2100.0,0.28,SHU Lager
4.5,12.1,1.049,21.3,5.215,2103.97,0.28,SHU Lager
5.0,12.1,1.049,21.3,5.23,2108.0,0.28,SHU Lager
5.5,12.1,1.049,21.3,5.185,2109.455,0.28,SHU Lager
6.0,12.2,1.049,21.3,5.17,2113.0,0.28,SHU Lager
6.5,12.2,1.049,21.3,5.14,2113.0,0.28,SHU Lager
7.0,12.2,1.049,21.3,5.12,2116.0,0.28,SHU Lager
7.5,12.2,1.049,21.348,5.135,2116.485,0.28,SHU Lager
8.0,12.2,1.049,21.4,5.1,2121.0,0.28,SHU Lager
8.5,12.2,1.049,21.4,5.11,2121.455,0.28,SHU Lager
9.0,12.1,1.049,21.4,5.08,2127.0,0.28,SHU Lager
9.5,12.1,1.049,21.4,5.08,2128.939,0.28,SHU Lager
10.0,12.1,1.049,21.4,5.08,2132.0,0.28,SHU Lager
10.5,12.1,1.049,21.4,5.06,2131.515,0.28,SHU Lager
11.0,12.1,1.049,21.4,5.04,2134.0,0.28,SHU Lager
11.5,12.1,1.049,21.4,5.04,2135.485,0.28,SHU Lager
12.0,12.1,1.049,21.4,5.05,2136.0,0.28,SHU Lager
12.5,12.1,1.049,21.4,5.035,2134.97,0.28,SHU Lager
13.0,12.1,1.049,21.5,5.02,2136.0,0.28,SHU Lager
13.5,12.1,1.049,21.5,5.035,2137.515,0.28,SHU Lager
14.0,12.1,1.049,21.5,5.03,2137.0,0.28,SHU Lager
14.5,12.1,1.049,21.5,5.005,2136.545,0.28,SHU Lager
15.0,12.1,1.049,21.5,5.0,2142.0,0.28,SHU Lager
15.5,12.1,1.049,21.5,5.0,2141.455,0.28,SHU Lager
16.0,12.1,1.049,21.5,4.98,2137.0,0.28,SHU Lager
16.5,12.1,1.049,21.548,4.981,2139.0,0.28,SHU Lager
17.0,12.1,1.049,21.6,4.98,2141.0,0.28,SHU Lager
17.5,12.1,1.049,21.6,4.975,2138.939,0.28,SHU Lager
18.0,12.1,1.049,21.6,4.97,2143.0,0.28,SHU Lager
18.5,12.0,1.048,21.6,4.96,2143.485,0.28,SHU Lager
19.0,12.0,1.048,21.6,4.97,2141.0,0.28,SHU Lager
19.5,12.0,1.048,21.6,4.965,2142.03,0.28,SHU Lager
20.0,12.0,1.048,21.7,4.95,2146.0,0.28,SHU Lager
20.5,11.952,1.048,21.7,4.945,2141.576,0.28,SHU Lager
21.0,11.9,1.048,21.7,4.94,2142.0,0.28,SHU Lager
21.5,11.9,1.048,21.7,4.945,2135.545,0.28,SHU Lager
22.0,11.9,1.048,21.8,4.92,2143.0,0.28,SHU Lager
22.5,11.9,1.048,21.215,4.925,2117.485,0.28,SHU Lager
23.0,12.0,1.048,20.2,4.94,2108.0,0.28,SHU Lager
23.5,12.0,1.048,19.655,4.935,2124.697,0.285,SHU Lager
24.0,12.0,1.048,19.1,4.94,2116.0,0.29,SHU Lager
24.5,12.0,1.048,18.655,4.955,2109.061,0.29,SHU Lager
25.0,12.0,1.048,18.1,4.95,2126.0,0.29,SHU Lager
25.5,12.0,1.048,17.755,4.945,2127.0,0.3,SHU Lager
26.0,12.0,1.048,17.3,4.93,2118.0,0.3,SHU Lager
26.5,12.0,1.048,16.855,4.955,2132.061,0.3,SHU Lager
27.0,12.0,1.048,16.5,4.93,2140.0,0.3,SHU Lager
27.5,12.0,1.048,16.103,4.965,2125.485,0.305,SHU Lager
28.0,12.0,1.048,15.7,4.94,2129.0,0.31,SHU Lager
28.5,12.0,1.048,15.403,4.96,2135.545,0.31,SHU Lager
29.0,12.0,1.048,15.0,4.95,2128.0,0.31,SHU Lager
29.5,12.0,1.048,14.755,4.96,2126.061,0.31,SHU Lager
30.0,12.0,1.048,14.4,4.96,2119.0,0.31,SHU Lager
30.5,12.0,1.048,14.155,4.954,2096.758,0.315,SHU Lager
31.0,12.0,1.048,13.8,4.99,2094.0,0.32,SHU Lager
31.5,12.0,1.048,13.555,4.96,2102.091,0.32,SHU Lager
32.0,12.0,1.048,13.3,4.98,2090.0,0.32,SHU Lager
32.5,12.0,1.048,13.103,4.955,2091.061,0.32,SHU Lager
33.0,11.9,1.048,12.8,4.98,2089.0,0.32,SHU Lager
33.5,12.0,1.048,12.603,4.96,2097.03,0.33,SHU Lager
34.0,12.0,1.048,12.4,4.97,2100.0,0.33,SHU Lager
34.5,11.952,1.048,12.152,4.969,2094.424,0.325,SHU Lager
35.0,12.0,1.048,12.0,4.99,2095.0,0.33,SHU Lager
35.5,11.9,1.048,11.852,4.985,2092.061,0.33,SHU Lager
36.0,12.0,1.048,11.7,4.99,2100.0,0.34,SHU Lager
36.5,11.9,1.048,11.552,4.979,2087.061,0.33,SHU Lager
