Timestamp (BST),Hours from Pitch,DO (mg/L),Gravity (°P),Pressure (Bar),Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm)
2023-03-31 15:30:00,0.02,2.12,12.6,0.06,23.1,19.9,2532.0
2023-03-31 15:40:00,0.2,1.93,12.6,0.06,22.9,20.0,2529.0
2023-03-31 15:50:00,0.37,1.83,12.6,0.06,22.8,19.0,2533.0
2023-03-31 16:00:00,0.53,1.75,12.7,0.06,22.7,19.0,2537.0
2023-03-31 16:10:00,0.7,1.7,12.7,0.06,22.7,19.0,2535.0
2023-03-31 16:20:00,0.87,1.63,12.7,0.06,22.5,19.0,2539.0
2023-03-31 16:30:00,1.03,1.58,12.7,0.06,22.5,19.0,2537.0
2023-03-31 16:40:00,1.2,1.57,12.7,0.06,22.3,19.0,2539.0
2023-03-31 16:50:00,1.37,1.49,12.7,0.06,22.4,19.0,2530.0
2023-03-31 17:00:00,1.53,1.46,12.7,0.06,22.4,19.0,2532.0
2023-03-31 17:10:00,1.7,1.44,12.7,0.06,22.3,19.0,2534.0
2023-03-31 17:20:00,1.87,1.41,12.7,0.06,22.3,19.0,2532.0
2023-03-31 17:30:00,2.03,1.37,12.7,0.06,22.2,19.0,2536.0
2023-03-31 17:40:00,2.2,1.34,12.7,0.06,22.2,19.0,2533.0
2023-03-31 17:50:00,2.37,1.3,12.7,0.05,22.3,19.0,2528.0
2023-03-31 18:00:00,2.53,1.27,12.7,0.05,22.2,20.0,2529.0
2023-03-31 18:10:00,2.7,1.26,12.7,0.05,22.1,20.0,2531.0
2023-03-31 18:20:00,2.87,1.22,12.7,0.05,22.1,20.0,2529.0
2023-03-31 18:30:00,3.03,1.18,12.7,0.05,22.1,20.0,2528.0
2023-03-31 18:40:00,3.2,1.15,12.7,0.05,22.1,20.0,2529.0
2023-03-31 18:50:00,3.37,1.08,12.7,0.05,22.0,20.0,2531.0
2023-03-31 19:00:00,3.53,1.04,12.7,0.05,22.0,20.0,2530.0
2023-03-31 19:10:00,3.7,1.01,12.7,0.05,22.0,20.0,2528.0
2023-03-31 19:20:00,3.87,0.97,12.7,0.05,22.1,20.0,2524.0
2023-03-31 19:30:00,4.03,0.92,12.7,0.05,22.0,20.0,2527.0
2023-03-31 19:40:00,4.2,0.91,12.7,0.06,22.1,20.0,2524.0
2023-03-31 19:50:00,4.37,0.86,12.7,0.05,22.1,20.0,2524.0
2023-03-31 20:00:00,4.53,0.81,12.7,0.06,22.1,20.0,2524.0
2023-03-31 20:10:00,4.7,0.76,12.7,0.05,22.0,20.0,2527.0
2023-03-31 20:20:00,4.87,0.71,12.7,0.05,22.0,20.0,2526.0
2023-03-31 20:30:00,5.03,0.68,12.7,0.05,21.9,20.0,2529.0
2023-03-31 20:40:00,5.2,0.68,12.7,0.05,21.9,20.0,2528.0
2023-03-31 20:50:00,5.37,0.65,12.7,0.06,22.0,20.0,2524.0
2023-03-31 21:00:00,5.53,0.65,12.7,0.05,21.9,20.0,2527.0
2023-03-31 21:10:00,5.7,0.65,12.7,0.05,22.0,20.0,2523.0
2023-03-31 21:20:00,5.87,0.64,12.7,0.05,21.9,20.0,2526.0
2023-03-31 21:30:00,6.03,0.64,12.7,0.05,21.9,20.0,2524.0
2023-03-31 21:40:00,6.2,0.63,12.7,0.05,21.9,20.0,2526.0
2023-03-31 21:50:00,6.37,0.63,12.7,0.05,21.9,20.0,2525.0
2023-03-31 22:00:00,6.53,0.62,12.7,0.05,21.9,21.0,2525.0
2023-03-31 22:10:00,6.7,0.62,12.7,0.05,21.9,21.0,2521.0
2023-03-31 22:20:00,6.87,0.62,12.7,0.05,21.9,21.0,2524.0
2023-03-31 22:30:00,7.03,0.61,12.7,0.05,21.9,21.0,2524.0
2023-03-31 22:40:00,7.2,0.61,12.7,0.05,21.9,21.0,2523.0
2023-03-31 22:50:00,7.37,0.61,12.7,0.05,21.9,21.0,2522.0
2023-03-31 23:00:00,7.53,0.61,12.7,0.05,21.9,21.0,2521.0
2023-03-31 23:10:00,7.7,0.62,12.7,0.05,21.8,21.0,2523.0
2023-03-31 23:20:00,7.87,0.62,12.7,0.05,21.8,21.0,2523.0
2023-03-31 23:30:00,8.03,0.61,12.7,0.05,21.8,21.0,2522.0
2023-03-31 23:40:00,8.2,0.61,12.7,0.05,21.8,21.0,2522.0
2023-03-31 23:50:00,8.37,0.61,12.7,0.05,21.8,21.0,2525.0
2023-04-01 00:00:00,8.53,0.61,12.7,0.05,21.8,21.0,2521.0
2023-04-01 00:10:00,8.7,0.61,12.7,0.05,21.8,21.0,2520.0
2023-04-01 00:20:00,8.87,0.61,12.7,0.05,21.8,21.0,2520.0
2023-04-01 00:30:00,9.03,0.6,12.7,0.05,21.9,21.0,2515.0
2023-04-01 00:40:00,9.2,0.61,12.7,0.05,21.8,21.0,2519.0
2023-04-01 00:50:00,9.37,0.61,12.7,0.05,21.8,21.0,2521.0
2023-04-01 01:00:00,9.53,0.6,12.7,0.05,21.7,21.0,2524.0
2023-04-01 01:10:00,9.7,0.61,12.7,0.05,21.8,21.0,2520.0
2023-04-01 01:20:00,9.87,0.61,12.7,0.05,21.8,21.0,2519.0
2023-04-01 01:30:00,10.03,0.61,12.7,0.05,21.8,21.0,2519.0
2023-04-01 01:40:00,10.2,0.61,12.7,0.05,21.8,21.0,2518.0
2023-04-01 01:50:00,10.37,0.6,12.7,0.05,21.7,21.0,2521.0
2023-04-01 02:00:00,10.53,0.6,12.7,0.05,21.7,21.0,2520.0
2023-04-01 02:10:00,10.7,0.6,12.7,0.05,21.7,21.0,2520.0
2023-04-01 02:20:00,10.87,0.6,12.7,0.05,21.7,21.0,2519.0
2023-04-01 02:30:00,11.03,0.6,12.7,0.05,21.6,21.0,2522.0
2023-04-01 02:40:00,11.2,0.6,12.7,0.05,21.7,21.0,2518.0
2023-04-01 02:50:00,11.37,0.6,12.7,0.05,21.6,21.0,2521.0
2023-04-01 03:00:00,11.53,0.6,12.7,0.05,21.7,21.0,2517.0
2023-04-01 03:10:00,11.7,0.6,12.7,0.05,21.6,21.0,2520.0
2023-04-01 03:20:00,11.87,0.6,12.7,0.05,21.6,21.0,2519.0
2023-04-01 03:30:00,12.03,0.6,12.7,0.05,21.7,21.0,2515.0
2023-04-01 03:40:00,12.2,0.6,12.7,0.05,21.6,21.0,2518.0
2023-04-01 03:50:00,12.37,0.59,12.7,0.05,21.6,21.0,2518.0
2023-04-01 04:00:00,12.53,0.6,12.7,0.05,21.6,21.0,2521.0
