Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source
05/03/2022 15:32,-0.97,4.33,5.32,9.9,0,0.06,42.9,20,2423,,BrewIQ
05/03/2022 15:42,-0.8,2.4,5.32,,,0.06,40.3,20,2376,,BrewIQ
05/03/2022 15:52,-0.63,1.77,5.35,,,0.06,35.1,22,2328,,BrewIQ
05/03/2022 16:02,-0.47,1.55,5.39,10.1,0,0.06,31,22,2305,,BrewIQ
05/03/2022 16:12,-0.3,1.16,5.41,,,0.06,27.9,22,2294,,BrewIQ
05/03/2022 16:22,-0.13,0.99,5.43,,,0.06,25.5,22,2283,,BrewIQ
05/03/2022 16:32,0.03,0.91,5.44,10.1,0,0.06,24.4,22,2280,,BrewIQ
05/03/2022 16:42,0.2,0.87,5.44,,,0.06,24.2,21,2288,,BrewIQ
05/03/2022 16:52,0.37,0.83,5.44,,,0.06,24.1,21,2290,,BrewIQ
05/03/2022 17:02,0.53,0.84,5.44,10.1,0,0.06,24,21,2294,,BrewIQ
05/03/2022 17:12,0.7,0.71,5.44,,,0.06,24,21,2292,,BrewIQ
05/03/2022 17:22,0.87,0.68,5.43,,,0.06,24,21,2290,,BrewIQ
05/03/2022 17:32,1.03,0.64,5.43,10.1,0,0.06,24,21,2290,,BrewIQ
05/03/2022 17:42,1.2,0.6,5.44,,,0.06,23.9,21,2290,,BrewIQ
05/03/2022 17:52,1.37,0.58,5.44,,,0.06,23.9,21,2288,,BrewIQ
05/03/2022 18:02,1.53,0.55,5.44,10.1,0,0.06,23.9,21,2287,,BrewIQ
05/03/2022 18:12,1.7,0.51,5.44,,,0.06,23.9,21,2285,,BrewIQ
05/03/2022 18:22,1.87,0.48,5.44,,,0.06,23.9,21,2287,,BrewIQ
05/03/2022 18:32,2.03,0.54,5.44,10.2,0,0.06,23.9,21,2287,,BrewIQ
05/03/2022 18:42,2.2,0.43,5.44,,,0.06,23.8,21,2289,,BrewIQ
05/03/2022 18:52,2.37,0.42,5.44,,,0.06,23.8,21,2291,,BrewIQ
05/03/2022 19:02,2.53,0.38,5.43,10,0,0.06,23.8,21,2287,,BrewIQ
05/03/2022 19:12,2.7,0.36,5.43,,,0.06,23.9,21,2283,,BrewIQ
05/03/2022 19:22,2.87,0.37,5.43,,,0.06,23.9,21,2283,,BrewIQ
05/03/2022 19:32,3.03,0.37,5.43,10.1,0,0.06,23.9,21,2284,,BrewIQ
05/03/2022 19:42,3.2,0.32,5.43,,,0.06,23.9,21,2285,,BrewIQ
05/03/2022 19:52,3.37,0.31,5.43,,,0.06,23.9,21,2285,,BrewIQ
05/03/2022 20:02,3.53,0.31,5.43,10,0,0.06,23.9,21,2283,,BrewIQ
05/03/2022 20:12,3.7,0.3,5.42,,,0.06,23.9,21,2284,,BrewIQ
05/03/2022 20:22,3.87,0.26,5.42,,,0.06,23.9,21,2284,,BrewIQ
05/03/2022 20:32,4.03,0.31,5.42,10.1,0,0.06,23.9,21,2283,,BrewIQ
05/03/2022 20:42,4.2,0.26,5.42,,,0.06,23.9,21,2286,,BrewIQ
05/03/2022 20:52,4.37,0.26,5.42,,,0.06,23.9,22,2286,,BrewIQ
05/03/2022 21:02,4.53,0.26,5.41,10,0,0.06,23.9,22,2282,,BrewIQ
05/03/2022 21:12,4.7,0.25,5.41,,,0.06,23.8,22,2288,,BrewIQ
05/03/2022 21:22,4.87,0.25,5.41,,,0.06,23.9,22,2285,,BrewIQ
05/03/2022 21:32,5.03,0.25,5.41,10.1,0,0.06,23.9,22,2285,,BrewIQ
05/03/2022 21:42,5.2,0.26,5.41,,,0.06,23.9,22,2282,,BrewIQ
05/03/2022 21:52,5.37,0.25,5.4,,,0.06,23.9,22,2283,,BrewIQ
05/03/2022 22:02,5.53,0.25,5.4,10.1,0,0.06,23.9,22,2286,,BrewIQ
05/03/2022 22:12,5.7,0.24,5.4,,,0.06,23.9,22,2286,,BrewIQ
05/03/2022 22:22,5.87,0.24,5.4,,,0.06,23.9,22,2283,,BrewIQ
05/03/2022 22:32,6.03,0.25,5.4,10.1,0,0.06,23.9,22,2284,,BrewIQ
05/03/2022 22:42,6.2,0.22,5.4,,,0.06,23.9,22,2284,,BrewIQ
05/03/2022 22:52,6.37,0.22,5.4,,,0.06,23.9,22,2284,,BrewIQ
05/03/2022 23:02,6.53,0.25,5.39,10.1,0,0.06,23.9,22,2285,,BrewIQ
05/03/2022 23:12,6.7,0.22,5.39,,,0.06,23.9,22,2285,,BrewIQ
05/03/2022 23:22,6.87,0.22,5.39,,,0.06,23.9,22,2288,,BrewIQ
05/03/2022 23:32,7.03,0.22,5.38,10.1,0,0.06,23.9,22,2286,,BrewIQ
05/03/2022 23:42,7.2,0.2,5.38,,,0.06,23.9,22,2286,,BrewIQ
05/03/2022 23:52,7.37,0.2,5.38,,,0.06,23.9,22,2289,,BrewIQ
05/04/2022 00:02,7.53,0.23,5.38,10.1,0,0.06,23.9,22,2286,,BrewIQ
05/04/2022 00:12,7.7,0.19,5.38,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 00:22,7.87,0.19,5.37,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 00:32,8.03,0.21,5.37,10.1,0,0.06,23.9,22,2288,,BrewIQ
05/04/2022 00:42,8.2,0.18,5.37,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 00:52,8.37,0.18,5.36,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 01:02,8.53,0.19,5.35,10.1,0,0.06,23.9,22,2286,,BrewIQ
05/04/2022 01:12,8.7,0.19,5.36,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 01:22,8.87,0.19,5.35,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 01:32,9.03,0.19,5.35,10.1,0,0.06,23.9,22,2285,,BrewIQ
05/04/2022 01:42,9.2,0.18,5.35,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 01:52,9.37,0.18,5.35,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 02:02,9.53,0.18,5.34,10,0,0.06,23.8,22,2292,,BrewIQ
05/04/2022 02:12,9.7,0.18,5.34,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 02:22,9.87,0.18,5.34,,,0.06,23.8,22,2291,,BrewIQ
05/04/2022 02:32,10.03,0.18,5.33,10.1,0,0.06,23.9,22,2286,,BrewIQ
05/04/2022 02:42,10.2,0.18,5.33,,,0.06,23.8,22,2292,,BrewIQ
05/04/2022 02:52,10.37,0.18,5.33,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 03:02,10.53,0.18,5.33,10.1,0,0.06,23.9,22,2289,,BrewIQ
05/04/2022 03:12,10.7,0.18,5.32,,,0.06,23.8,22,2292,,BrewIQ
05/04/2022 03:22,10.87,0.18,5.32,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 03:32,11.03,0.18,5.32,10.1,0,0.06,23.9,22,2289,,BrewIQ
05/04/2022 03:42,11.2,0.18,5.31,,,0.06,23.8,22,2292,,BrewIQ
05/04/2022 03:52,11.37,0.18,5.31,,,0.06,23.9,22,2288,,BrewIQ
05/04/2022 04:02,11.53,0.18,5.3,10.1,0,0.06,23.8,22,2291,,BrewIQ
05/04/2022 04:12,11.7,0.18,5.3,,,0.06,23.8,22,2291,,BrewIQ
05/04/2022 04:22,11.87,0.18,5.3,,,0.06,23.8,22,2291,,BrewIQ
05/04/2022 04:32,12.03,0.18,5.29,10.1,0,0.06,23.9,22,2288,,BrewIQ
05/04/2022 04:42,12.2,0.18,5.3,,,0.06,23.8,22,2294,,BrewIQ
05/04/2022 04:52,12.37,0.17,5.29,,,0.06,23.8,22,2291,,BrewIQ
05/04/2022 05:02,12.53,0.17,5.29,10,0,0.06,23.9,22,2288,,BrewIQ
05/04/2022 05:12,12.7,0.17,5.28,,,0.06,23.8,22,2291,,BrewIQ
05/04/2022 05:22,12.87,0.18,5.28,,,0.06,23.8,22,2294,,BrewIQ
