"Timestamp (BST)","Hours from Pitch","DO (mg/L)",pH,"Gravity (°P)","ABV Est. (%)","Pressure (Bar)","Fluid Temp (°C)","Ambient Temp (°C)","Conductivity (uS/cm)",Notes,"Data Source"
"05/17/2022 15:26:00",-0.57,3.87,5.14,11.6,0,0.04,32.9,21.0,2526,,BrewIQ
"05/17/2022 15:35:00",-0.42,1.98,5.15,12.2,0,0.04,31.2,22.0,2451,,BrewIQ
"05/17/2022 15:45:00",-0.25,1.62,5.17,,,0.04,28.4,22.0,2479,,BrewIQ
"05/17/2022 15:55:00",-0.08,1.35,5.19,,,0.04,26.6,21.0,2470,,BrewIQ
"05/17/2022 16:05:00",0.08,1.04,5.20,12,0,0.04,25.6,21.0,2459,,BrewIQ
"05/17/2022 16:15:00",0.25,0.60,5.21,,,0.04,24.3,21.0,2456,,BrewIQ
"05/17/2022 16:24:00",0.40,0.55,5.21,12,0,0.04,23.6,21.0,2455,,BrewIQ
"05/17/2022 16:30:00",0.50,0.39,5.22,12,0,0.04,22.9,21.0,2446,,BrewIQ
"05/17/2022 16:40:00",0.67,0.32,5.22,,,0.04,22.6,20.0,2446,,BrewIQ
"05/17/2022 16:50:00",0.83,0.32,5.21,,,0.04,22.6,20.0,2447,,BrewIQ
"05/17/2022 17:00:00",1.00,0.36,5.22,12,0,0.04,22.5,20.0,2450,,BrewIQ
"05/17/2022 17:08:00",1.13,0.28,5.21,12.2,0,0.04,22.6,20.0,2446,,BrewIQ
"05/17/2022 17:11:00",1.18,0.25,5.22,12.2,0,0.04,22.5,20.0,2448,,BrewIQ
"05/17/2022 17:21:00",1.35,0.26,5.21,,,0.04,22.4,20.0,2450,,BrewIQ
"05/17/2022 17:26:00",1.43,0.26,5.21,12.2,0,0.04,22.6,20.0,2433,,BrewIQ
"05/17/2022 17:36:00",1.60,0.25,5.21,,,0.04,22.5,20.0,2437,,BrewIQ
"05/17/2022 17:46:00",1.77,0.26,5.21,,,0.04,22.4,20.0,2441,,BrewIQ
"05/17/2022 17:52:00",1.87,0.25,5.21,12.2,0,0.04,22.3,20.0,2443,,BrewIQ
"05/17/2022 18:02:00",2.03,0.25,5.20,,,0.04,22.3,20.0,2440,,BrewIQ
"05/17/2022 18:12:00",2.20,0.24,5.21,,,0.04,22.3,20.0,2442,,BrewIQ
"05/17/2022 18:22:00",2.37,0.24,5.21,12.3,0,0.04,22.1,20.0,2446,,BrewIQ
"05/17/2022 18:32:00",2.53,0.23,5.21,,,0.04,22.2,20.0,2439,,BrewIQ
"05/17/2022 18:42:00",2.70,0.21,5.21,,,0.04,22.1,20.0,2443,,BrewIQ
"05/17/2022 18:52:00",2.87,0.21,5.21,12.3,0,0.04,22.1,20.0,2438,,BrewIQ
"05/17/2022 19:02:00",3.03,0.20,5.20,,,0.04,22.1,20.0,2436,,BrewIQ
"05/17/2022 19:12:00",3.20,0.19,5.20,,,0.04,22.1,20.0,2439,,BrewIQ
"05/17/2022 19:22:00",3.37,0.19,5.20,12.3,0,0.04,22.1,20.0,2438,,BrewIQ
"05/17/2022 19:32:00",3.53,0.19,5.20,,,0.04,22.1,20.0,2437,,BrewIQ
"05/17/2022 19:42:00",3.70,0.19,5.20,,,0.04,22.1,20.0,2434,,BrewIQ
"05/17/2022 19:52:00",3.87,0.19,5.20,12.3,0,0.04,22.1,20.0,2437,,BrewIQ
"05/17/2022 20:02:00",4.03,0.19,5.20,,,0.04,22.1,20.0,2434,,BrewIQ
"05/17/2022 20:12:00",4.20,0.18,5.20,,,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 20:22:00",4.37,0.18,5.20,12.3,0,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 20:32:00",4.53,0.18,5.19,,,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 20:42:00",4.70,0.18,5.19,,,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 20:52:00",4.87,0.17,5.19,12.3,0,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 21:02:00",5.03,0.17,5.19,,,0.04,22.1,21.0,2434,,BrewIQ
"05/17/2022 21:12:00",5.20,0.16,5.19,,,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 21:22:00",5.37,0.16,5.19,12.3,0,0.04,22.1,21.0,2438,,BrewIQ
"05/17/2022 21:32:00",5.53,0.15,5.19,,,0.04,22.1,21.0,2435,,BrewIQ
"05/17/2022 21:42:00",5.70,0.14,5.19,,,0.04,22.1,21.0,2439,,BrewIQ
"05/17/2022 21:52:00",5.87,0.14,5.19,12.3,0,0.04,22.1,21.0,2435,,BrewIQ
"05/17/2022 22:02:00",6.03,0.14,5.19,,,0.04,22.1,21.0,2439,,BrewIQ
"05/17/2022 22:12:00",6.20,0.13,5.18,,,0.04,22.1,21.0,2436,,BrewIQ
"05/17/2022 22:22:00",6.37,0.13,5.18,12.2,0,0.04,22.1,21.0,2440,,BrewIQ
"05/17/2022 22:32:00",6.53,0.13,5.18,,,0.04,22.1,22.0,2440,,BrewIQ
"05/17/2022 22:42:00",6.70,0.13,5.18,,,0.04,22.1,22.0,2436,,BrewIQ
"05/17/2022 22:52:00",6.87,0.12,5.18,12.2,0,0.04,22.1,22.0,2436,,BrewIQ
"05/17/2022 23:02:00",7.03,0.12,5.17,,,0.04,22.1,22.0,2437,,BrewIQ
"05/17/2022 23:12:00",7.20,0.12,5.17,,,0.04,22.1,22.0,2437,,BrewIQ
"05/17/2022 23:22:00",7.37,0.12,5.17,12.3,0,0.04,22.1,22.0,2437,,BrewIQ
"05/17/2022 23:32:00",7.53,0.12,5.17,,,0.04,22.1,22.0,2437,,BrewIQ
"05/17/2022 23:42:00",7.70,0.12,5.17,,,0.04,22.1,22.0,2441,,BrewIQ
"05/17/2022 23:52:00",7.87,0.12,5.17,12.3,0,0.04,22.1,22.0,2438,,BrewIQ
"05/18/2022 00:02:00",8.03,0.12,5.17,,,0.04,22.1,22.0,2438,,BrewIQ
"05/18/2022 00:12:00",8.20,0.12,5.16,,,0.04,22.1,22.0,2438,,BrewIQ
"05/18/2022 00:22:00",8.37,0.12,5.17,12.3,0,0.04,22.1,22.0,2442,,BrewIQ
"05/18/2022 00:32:00",8.53,0.12,5.16,,,0.04,22.1,22.0,2443,,BrewIQ
"05/18/2022 00:42:00",8.70,0.12,5.16,,,0.04,22.1,22.0,2439,,BrewIQ
"05/18/2022 00:52:00",8.87,0.12,5.16,12.3,0,0.04,22.1,22.0,2443,,BrewIQ
"05/18/2022 01:02:00",9.03,0.12,5.16,,,0.04,22.1,22.0,2443,,BrewIQ
"05/18/2022 01:12:00",9.20,0.11,5.16,,,0.04,22.1,22.0,2444,,BrewIQ
"05/18/2022 01:22:00",9.37,0.12,5.15,12.3,0,0.04,22.1,22.0,2444,,BrewIQ
"05/18/2022 01:32:00",9.53,0.12,5.15,,,0.04,22.1,22.0,2441,,BrewIQ
"05/18/2022 01:42:00",9.70,0.12,5.15,,,0.04,22.2,22.0,2438,,BrewIQ
"05/18/2022 01:52:00",9.87,0.12,5.14,12.3,0,0.04,22.1,22.0,2441,,BrewIQ
"05/18/2022 02:02:00",10.03,0.12,5.14,,,0.04,22.1,22.0,2441,,BrewIQ
"05/18/2022 02:12:00",10.20,0.11,5.14,,,0.04,22.1,22.0,2442,,BrewIQ
"05/18/2022 02:22:00",10.37,0.11,5.14,12.3,0,0.04,22.1,22.0,2445,,BrewIQ
"05/18/2022 02:32:00",10.53,0.11,5.14,,,0.04,22.1,22.0,2442,,BrewIQ
"05/18/2022 02:42:00",10.70,0.11,5.14,,,0.04,22.1,22.0,2443,,BrewIQ
"05/18/2022 02:52:00",10.87,0.11,5.14,12.3,0,0.04,22.1,22.0,2443,,BrewIQ
"05/18/2022 03:02:00",11.03,0.10,5.13,,,0.04,22.1,22.0,2443,,BrewIQ
"05/18/2022 03:12:00",11.20,0.10,5.13,,,0.04,22.1,22.0,2444,,BrewIQ
"05/18/2022 03:22:00",11.37,0.10,5.13,12.3,0,0.04,22.1,22.0,2444,,BrewIQ
"05/18/2022 03:32:00",11.53,0.09,5.13,,,0.04,22.1,22.0,2444,,BrewIQ
"05/18/2022 03:42:00",11.70,0.09,5.13,,,0.04,22.1,22.0,2445,,BrewIQ
"05/18/2022 03:52:00",11.87,0.09,5.12,12.2,0,0.04,22.2,22.0,2443,,BrewIQ
"05/18/2022 04:02:00",12.03,0.07,5.12,,,0.04,22.1,22.0,2446,,BrewIQ
"05/18/2022 04:12:00",12.20,0.07,5.12,,,0.04,22.2,22.0,2443,,BrewIQ
"05/18/2022 04:22:00",12.37,0.07,5.12,12.2,0,0.04,22.2,22.0,2444,,BrewIQ
"05/18/2022 04:32:00",12.53,0.07,5.12,,,0.04,22.2,22.0,2444,,BrewIQ
"05/18/2022 04:42:00",12.70,0.07,5.11,,,0.04,22.2,22.0,2444,,BrewIQ
"05/18/2022 04:52:00",12.87,0.07,5.11,12.2,0,0.04,22.2,22.0,2444,,BrewIQ
"05/18/2022 05:02:00",13.03,0.07,5.11,,,0.04,22.2,22.0,2445,,BrewIQ
"05/18/2022 05:12:00",13.20,0.06,5.11,,,0.04,22.2,22.0,2445,,BrewIQ
"05/18/2022 05:22:00",13.37,0.06,5.11,12.2,0,0.04,22.2,22.0,2446,,BrewIQ
"05/18/2022 05:32:00",13.53,0.06,5.10,,,0.04,22.2,22.0,2447,,BrewIQ
"05/18/2022 05:42:00",13.70,0.06,5.11,,,0.04,22.3,22.0,2444,,BrewIQ
"05/18/2022 05:52:00",13.87,0.06,5.11,12.2,0,0.04,22.3,22.0,2445,,BrewIQ
"05/18/2022 06:02:00",14.03,0.06,5.10,,,0.04,22.2,22.0,2449,,BrewIQ
"05/18/2022 06:12:00",14.20,0.06,5.10,,,0.04,22.2,22.0,2449,,BrewIQ
"05/18/2022 06:22:00",14.37,0.06,5.10,12.2,0,0.04,22.3,22.0,2448,,BrewIQ
"05/18/2022 06:32:00",14.53,0.06,5.10,,,0.04,22.2,22.0,2451,,BrewIQ
"05/18/2022 06:42:00",14.70,0.06,5.10,,,0.04,22.2,22.0,2452,,BrewIQ
"05/18/2022 06:52:00",14.87,0.06,5.10,12.2,0,0.04,22.3,22.0,2451,,BrewIQ
"05/18/2022 07:02:00",15.03,0.05,5.09,,,0.04,22.3,22.0,2451,,BrewIQ
"05/18/2022 07:12:00",15.20,0.05,5.08,,,0.04,22.2,22.0,2455,,BrewIQ
"05/18/2022 07:22:00",15.37,0.05,5.08,12.2,0,0.04,22.3,22.0,2454,,BrewIQ
