hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.4,1.05,11.9,5.72,2389.0,0.55,SHU Lager
0.5,12.4,1.05,11.9,5.69,2389.455,0.545,SHU Lager
1.0,12.4,1.05,11.9,5.73,2388.0,0.55,SHU Lager
1.5,12.4,1.05,11.9,5.709,2385.485,0.555,SHU Lager
2.0,12.4,1.05,11.8,5.7,2382.0,0.55,SHU Lager
2.5,12.4,1.05,11.8,5.709,2383.0,0.53,SHU Lager
3.0,12.4,1.05,11.8,5.72,2379.0,0.52,SHU Lager
3.5,12.4,1.05,11.8,5.705,2380.485,0.545,SHU Lager
4.0,12.4,1.05,11.8,5.72,2377.0,0.56,SHU Lager
4.5,12.4,1.05,11.8,5.711,2377.97,0.52,SHU Lager
5.0,12.4,1.05,11.8,5.7,2379.0,0.54,SHU Lager
5.5,12.4,1.05,11.8,5.715,2380.485,0.56,SHU Lager
6.0,12.4,1.05,11.8,5.68,2382.0,0.56,SHU Lager
6.5,12.4,1.05,11.8,5.706,2380.061,0.565,SHU Lager
7.0,12.4,1.05,11.9,5.67,2379.0,0.54,SHU Lager
7.5,12.4,1.05,11.9,5.686,2378.0,0.555,SHU Lager
8.0,12.4,1.05,11.9,5.71,2380.0,0.56,SHU Lager
8.5,12.4,1.05,11.9,5.691,2379.576,0.56,SHU Lager
9.0,12.4,1.05,12.0,5.65,2384.0,0.56,SHU Lager
9.5,12.352,1.05,12.0,5.685,2383.576,0.56,SHU Lager
10.0,12.3,1.05,12.0,5.66,2383.0,0.58,SHU Lager
10.5,12.3,1.05,12.048,5.645,2385.97,0.585,SHU Lager
11.0,12.3,1.05,12.1,5.67,2384.0,0.54,SHU Lager
11.5,12.3,1.05,12.1,5.635,2384.545,0.54,SHU Lager
12.0,12.3,1.05,12.2,5.66,2385.0,0.57,SHU Lager
12.5,12.4,1.05,12.2,5.63,2388.97,0.565,SHU Lager
13.0,12.4,1.05,12.2,5.65,2385.0,0.57,SHU Lager
13.5,12.4,1.05,12.3,5.595,2390.455,0.57,SHU Lager
14.0,12.4,1.05,12.3,5.59,2391.0,0.57,SHU Lager
14.5,12.4,1.05,12.348,5.611,2390.455,0.56,SHU Lager
15.0,12.4,1.05,12.4,5.58,2393.0,0.56,SHU Lager
