Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm)
2022-05-17 16:00:00,0.04,1.12,5.2,12.0,0.04,25.8,21.0,2464.0
2022-05-17 16:10:00,0.25,0.6,5.21,12.0,0.04,24.3,21.0,2456.0
2022-05-17 16:20:00,0.4,0.55,5.21,12.0,0.04,23.6,21.0,2455.0
2022-05-17 16:30:00,0.5,0.39,5.22,12.0,0.04,22.9,21.0,2446.0
2022-05-17 16:40:00,0.67,0.32,5.22,12.0,0.04,22.6,20.0,2446.0
2022-05-17 16:50:00,0.83,0.32,5.21,12.0,0.04,22.6,20.0,2447.0
2022-05-17 17:00:00,1.06,0.32,5.22,12.1,0.04,22.6,20.0,2448.0
2022-05-17 17:10:00,1.18,0.25,5.22,12.2,0.04,22.5,20.0,2448.0
2022-05-17 17:20:00,1.39,0.26,5.21,12.2,0.04,22.5,20.0,2442.0
2022-05-17 17:30:00,1.6,0.25,5.21,12.2,0.04,22.5,20.0,2437.0
2022-05-17 17:40:00,1.77,0.26,5.21,12.2,0.04,22.4,20.0,2441.0
2022-05-17 17:50:00,1.87,0.25,5.21,12.2,0.04,22.3,20.0,2443.0
2022-05-17 18:00:00,2.03,0.25,5.2,12.2,0.04,22.3,20.0,2440.0
2022-05-17 18:10:00,2.2,0.24,5.21,12.3,0.04,22.3,20.0,2442.0
2022-05-17 18:20:00,2.37,0.24,5.21,12.3,0.04,22.1,20.0,2446.0
2022-05-17 18:30:00,2.53,0.23,5.21,12.3,0.04,22.2,20.0,2439.0
2022-05-17 18:40:00,2.7,0.21,5.21,12.3,0.04,22.1,20.0,2443.0
2022-05-17 18:50:00,2.87,0.21,5.21,12.3,0.04,22.1,20.0,2438.0
2022-05-17 19:00:00,3.03,0.2,5.2,12.3,0.04,22.1,20.0,2436.0
2022-05-17 19:10:00,3.2,0.19,5.2,12.3,0.04,22.1,20.0,2439.0
2022-05-17 19:20:00,3.37,0.19,5.2,12.3,0.04,22.1,20.0,2438.0
