Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Conductivity (uS/cm)
2023-04-28 16:00:00,0.06,1.22,5.72,11.8,0.07,15.3,2256.0
2023-04-28 16:10:00,0.28,1.23,5.72,11.8,0.07,14.9,2260.0
2023-04-28 16:20:00,0.45,1.24,5.71,11.9,0.07,14.8,2265.0
2023-04-28 16:30:00,0.62,1.21,5.72,11.9,0.07,14.7,2264.0
2023-04-28 16:40:00,0.78,1.2,5.71,11.9,0.07,14.6,2265.0
2023-04-28 16:50:00,0.95,1.2,5.72,11.9,0.07,14.6,2266.0
2023-04-28 17:00:00,1.12,1.19,5.72,11.9,0.07,14.5,2267.0
2023-04-28 17:10:00,1.28,1.18,5.72,11.9,0.07,14.4,2263.0
2023-04-28 17:20:00,1.45,1.16,5.72,11.9,0.07,14.4,2262.0
2023-04-28 17:30:00,1.62,1.18,5.72,11.9,0.07,14.3,2262.0
2023-04-28 17:40:00,1.78,1.16,5.72,11.9,0.07,14.3,2259.0
2023-04-28 17:50:00,1.95,1.13,5.72,11.9,0.07,14.3,2260.0
2023-04-28 18:00:00,2.12,1.12,5.72,11.9,0.07,14.3,2258.0
2023-04-28 18:10:00,2.28,1.11,5.72,11.9,0.07,14.3,2257.0
2023-04-28 18:20:00,2.45,1.12,5.72,11.9,0.07,14.2,2259.0
2023-04-28 18:30:00,2.62,1.12,5.72,11.9,0.07,14.1,2261.0
2023-04-28 18:40:00,2.78,1.11,5.72,11.9,0.07,14.1,2259.0
2023-04-28 18:50:00,2.95,1.08,5.72,11.9,0.07,14.1,2261.0
2023-04-28 19:00:00,3.12,1.07,5.72,11.9,0.07,14.1,2259.0
2023-04-28 19:10:00,3.28,1.06,5.72,11.9,0.07,14.1,2257.0
2023-04-28 19:20:00,3.45,1.03,5.72,11.9,0.07,14.1,2256.0
2023-04-28 19:30:00,3.62,1.02,5.72,11.9,0.07,14.0,2258.0
2023-04-28 19:40:00,3.78,1.02,5.72,11.9,0.07,13.9,2259.0
2023-04-28 19:50:00,3.95,1.02,5.72,11.9,0.07,13.9,2260.0
2023-04-28 20:00:00,4.12,1.02,5.72,11.9,0.07,13.8,2261.0
2023-04-28 20:10:00,4.28,1.02,5.72,11.9,0.07,13.8,2258.0
2023-04-28 20:20:00,4.45,1.0,5.72,11.9,0.07,13.8,2259.0
2023-04-28 20:30:00,4.62,1.03,5.72,11.9,0.07,13.8,2255.0
2023-04-28 20:40:00,4.78,0.99,5.72,11.9,0.07,13.7,2260.0
2023-04-28 20:50:00,4.95,0.99,5.72,11.9,0.07,13.7,2258.0
2023-04-28 21:00:00,5.12,1.02,5.72,11.9,0.07,13.6,2260.0
2023-04-28 21:10:00,5.28,1.01,5.72,11.9,0.07,13.6,2261.0
2023-04-28 21:20:00,5.33,1.02,5.72,11.9,0.07,13.6,2256.0
2023-04-28 21:30:00,5.5,1.03,5.72,11.9,0.07,13.6,2255.0
2023-04-28 21:40:00,5.67,1.0,5.72,11.9,0.07,13.6,2258.0
2023-04-28 21:50:00,5.83,1.02,5.72,11.9,0.07,13.5,2260.0
2023-04-28 22:00:00,6.0,1.02,5.72,11.9,0.07,13.5,2259.0
2023-04-28 22:10:00,6.17,1.01,5.72,11.9,0.07,13.5,2257.0
2023-04-28 22:20:00,6.33,1.0,5.72,11.9,0.07,13.4,2259.0
2023-04-28 22:30:00,6.5,0.99,5.72,11.9,0.07,13.4,2258.0
