Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm)
2023-05-12 15:30:00,0.02,1.75,5.77,11.6,0.08,18.0,,2618.0
2023-05-12 15:40:00,0.22,1.71,5.77,11.6,0.08,17.9,,2622.0
2023-05-12 15:50:00,0.38,1.66,5.77,11.6,0.08,17.9,,2619.0
2023-05-12 16:00:00,0.55,1.59,5.78,11.6,0.08,17.9,,2622.0
2023-05-12 16:10:00,0.72,1.54,5.78,11.6,0.08,17.9,,2621.0
2023-05-12 16:20:00,0.88,1.51,5.78,11.6,0.08,17.9,,2620.0
2023-05-12 16:30:00,1.05,1.51,5.78,11.6,0.08,17.8,,2620.0
2023-05-12 16:40:00,1.22,1.45,5.78,11.6,0.08,17.9,,2615.0
2023-05-12 16:50:00,1.38,1.43,5.78,11.6,0.08,17.9,,2616.0
2023-05-12 17:00:00,1.55,1.4,5.78,11.6,0.08,17.9,,2616.0
2023-05-12 17:10:00,1.72,1.38,5.77,11.6,0.08,17.9,,2618.0
2023-05-12 17:20:00,1.88,1.37,5.77,11.6,0.08,17.9,,2614.0
2023-05-12 17:30:00,2.05,1.34,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 17:40:00,2.22,1.32,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 17:50:00,2.38,1.3,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 18:00:00,2.55,1.27,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 18:10:00,2.72,1.24,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 18:20:00,2.88,1.22,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 18:30:00,3.05,1.2,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 18:40:00,3.22,1.18,5.77,11.6,0.08,17.9,,2616.0
2023-05-12 18:50:00,3.38,1.15,5.77,11.6,0.08,17.9,,2617.0
2023-05-12 19:00:00,3.55,1.13,5.76,11.6,0.08,17.9,,2617.0
2023-05-12 19:10:00,3.72,1.1,5.76,11.6,0.08,18.0,,2614.0
2023-05-12 19:20:00,3.88,1.08,5.76,11.6,0.08,18.0,,2615.0
2023-05-12 19:30:00,4.05,1.05,5.76,11.6,0.08,18.1,,2612.0
2023-05-12 19:40:00,4.22,1.02,5.76,11.6,0.08,18.0,,2617.0
2023-05-12 19:50:00,4.38,1.0,5.76,11.6,0.08,18.1,,2613.0
2023-05-12 20:00:00,4.55,0.97,5.76,11.6,0.08,18.1,,2614.0
2023-05-12 20:10:00,4.72,0.94,5.75,11.6,0.08,18.1,,2615.0
2023-05-12 20:20:00,4.88,0.91,5.75,11.6,0.08,18.1,,2616.0
2023-05-12 20:30:00,5.05,0.88,5.75,11.6,0.08,18.1,,2613.0
2023-05-12 20:40:00,5.22,0.85,5.75,11.6,0.08,18.1,,2613.0
2023-05-12 20:50:00,5.38,0.82,5.75,11.6,0.08,18.1,,2618.0
2023-05-12 21:00:00,5.55,0.77,5.75,11.6,0.08,18.1,,2615.0
2023-05-12 21:10:00,5.72,0.73,5.75,11.6,0.08,18.2,,2611.0
2023-05-12 21:20:00,5.88,0.71,5.74,11.6,0.08,18.1,,2616.0
2023-05-12 21:30:00,6.05,0.66,5.74,11.6,0.08,18.2,,2612.0
2023-05-12 21:40:00,6.22,0.62,5.74,11.6,0.08,18.2,,2613.0
2023-05-12 21:50:00,6.38,0.59,5.74,11.6,0.08,18.2,,2613.0
2023-05-12 22:00:00,6.55,0.55,5.74,11.6,0.08,18.2,,2614.0
2023-05-12 22:10:00,6.72,0.51,5.74,11.6,0.08,18.2,,2614.0
2023-05-12 22:20:00,6.88,0.48,5.73,11.6,0.08,18.2,,2615.0
2023-05-12 22:30:00,7.05,0.44,5.73,11.6,0.08,18.2,,2616.0
2023-05-12 22:40:00,7.22,0.41,5.73,11.6,0.08,18.2,,2617.0
2023-05-12 22:50:00,7.38,0.37,5.73,11.6,0.08,18.2,,2617.0
2023-05-12 23:00:00,7.55,0.35,5.72,11.6,0.08,18.3,,2614.0
2023-05-12 23:10:00,7.72,0.31,5.72,11.6,0.08,18.3,,2615.0
2023-05-12 23:20:00,7.88,0.26,5.72,11.6,0.08,18.3,,2615.0
2023-05-12 23:30:00,8.05,0.24,5.72,11.6,0.08,18.3,,2616.0
2023-05-12 23:40:00,8.22,0.19,5.71,11.6,0.08,18.3,,2617.0
2023-05-12 23:50:00,8.38,0.19,5.71,11.6,0.08,18.3,,2617.0
2023-05-13 00:00:00,8.55,0.17,5.71,11.6,0.08,18.3,,2618.0
2023-05-13 00:10:00,8.72,0.14,5.71,11.6,0.08,18.3,,2615.0
2023-05-13 00:20:00,8.88,0.13,5.71,11.6,0.08,18.3,,2616.0
2023-05-13 00:30:00,9.05,0.13,5.7,11.6,0.08,18.3,,2616.0
2023-05-13 00:40:00,9.22,0.13,5.7,11.6,0.08,18.3,,2617.0
2023-05-13 00:50:00,9.38,0.13,5.7,11.6,0.08,18.4,,2614.0
2023-05-13 01:00:00,9.55,0.12,5.7,11.6,0.08,18.3,,2618.0
2023-05-13 01:10:00,9.72,0.13,5.69,11.6,0.08,18.4,,2615.0
