Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
11/23/2023 14:08:00,-21.87,5.77,5.33,12.1,2.58,2.17,1.25,0.07,41,41.356,22,3216,,BrewIQ,SHU Lager
11/23/2023 14:31:00,-21.48,3.7,5.47,12.1,2.58,2.17,1.29,0.07,40.9,41.256,20,3244,,BrewIQ,SHU Lager
11/23/2023 14:34:00,-21.43,2.85,5.46,12.1,2.58,2.17,1.32,0.07,41,41.356,20,2578,,BrewIQ,SHU Lager
11/23/2023 14:51:00,-21.15,2.2,5.48,12.2,1.77,1.69,1.18,0.07,39.5,39.856,17,2462,,BrewIQ,SHU Lager
11/23/2023 15:11:00,-20.82,2.09,5.48,12.2,1.77,1.69,1.12,0.06,38.2,38.556,10,2478,,BrewIQ,SHU Lager
11/23/2023 15:31:00,-20.48,2.72,5.52,12.2,1.77,1.69,1.09,0.07,37.3,37.656,9,2489,,BrewIQ,SHU Lager
11/23/2023 15:51:00,-20.15,3.12,5.53,12.2,1.77,1.69,0.99,0.06,36.4,36.756,8,2480,,BrewIQ,SHU Lager
11/23/2023 16:11:00,-19.82,3.86,5.51,12.2,1.77,1.69,0.98,0.07,35.5,35.856,7,2485,,BrewIQ,SHU Lager
11/23/2023 16:31:00,-19.48,2.74,5.51,12.2,1.77,1.69,0.95,0.07,35,35.356,8,2501,,BrewIQ,SHU Lager
11/23/2023 16:51:00,-19.15,2.67,5.53,12.2,1.77,1.69,0.88,0.07,34,34.356,8,2485,,BrewIQ,SHU Lager
11/23/2023 17:11:00,-18.82,2.44,5.54,12.2,1.77,1.69,0.86,0.07,33.3,33.656,8,2428,,BrewIQ,SHU Lager
11/23/2023 17:31:00,-18.48,2.55,5.53,12.2,1.77,1.69,0.83,0.07,32.5,32.856,7,2431,,BrewIQ,SHU Lager
11/23/2023 17:51:00,-18.15,1.7,5.55,12.2,1.77,1.69,0.76,0.07,31.7,32.056,7,2435,,BrewIQ,SHU Lager
11/23/2023 18:11:00,-17.82,1.84,5.54,12.2,1.77,1.69,0.75,0.07,31,31.356,7,2429,,BrewIQ,SHU Lager
11/23/2023 18:31:00,-17.48,1.78,5.55,12.2,1.77,1.69,0.7,0.07,30.3,30.656,7,2421,,BrewIQ,SHU Lager
11/23/2023 18:51:00,-17.15,1.51,5.55,12.2,1.77,1.69,0.66,0.07,29.5,29.856,7,2416,,BrewIQ,SHU Lager
11/23/2023 19:11:00,-16.82,1.47,5.55,12.2,1.77,1.69,0.66,0.07,28.9,29.256,7,2454,,BrewIQ,SHU Lager
11/23/2023 19:31:00,-16.48,1.46,5.55,12.2,1.77,1.69,0.62,0.07,28.3,28.656,7,2442,,BrewIQ,SHU Lager
11/23/2023 19:51:00,-16.15,1.41,5.59,12.2,1.77,1.69,0.58,0.07,27.6,27.956,7,2416,,BrewIQ,SHU Lager
11/23/2023 20:11:00,-15.82,1.35,5.56,12.2,1.77,1.69,0.58,0.07,27,27.356,7,2406,,BrewIQ,SHU Lager
11/23/2023 20:31:00,-15.48,1.31,5.57,12.2,1.77,1.69,0.53,0.06,26.4,26.756,7,2401,,BrewIQ,SHU Lager
11/23/2023 20:51:00,-15.15,1.22,5.61,12.2,1.77,1.69,0.54,0.06,25.8,26.156,7,2402,,BrewIQ,SHU Lager
11/23/2023 21:11:00,-14.82,1.28,5.58,12.2,1.77,1.69,0.5,0.06,25.2,25.556,7,2395,,BrewIQ,SHU Lager
11/23/2023 21:31:00,-14.48,1.2,5.58,12.3,0.97,0.81,0.47,0.07,24.7,25.056,7,2398,,BrewIQ,SHU Lager
11/23/2023 21:51:00,-14.15,1.25,5.61,12.2,1.77,1.69,0.46,0.06,24.1,24.456,7,2399,,BrewIQ,SHU Lager
11/23/2023 22:11:00,-13.82,1.21,5.61,12.3,0.97,0.81,0.44,0.07,23.6,23.956,7,2396,,BrewIQ,SHU Lager
11/23/2023 22:31:00,-13.48,1.09,5.61,12.3,0.97,0.81,0.43,0.07,23.2,23.556,7,2407,,BrewIQ,SHU Lager
11/23/2023 22:51:00,-13.15,1.21,5.61,12.3,0.97,0.81,0.42,0.07,22.8,23.156,7,2399,,BrewIQ,SHU Lager
11/23/2023 23:11:00,-12.82,1.17,5.6,12.3,0.97,0.81,0.4,0.07,22.3,22.656,7,2386,,BrewIQ,SHU Lager
11/23/2023 23:31:00,-12.48,1.04,5.61,12.3,0.97,0.81,0.37,0.07,21.8,22.156,7,2389,,BrewIQ,SHU Lager
11/23/2023 23:51:00,-12.15,1.14,5.61,12.3,0.97,0.81,0.36,0.06,21.4,21.756,7,2385,,BrewIQ,SHU Lager
11/24/2023 00:11:00,-11.82,1.01,5.61,12.3,0.97,0.81,0.35,0.07,20.9,21.256,7,2385,,BrewIQ,SHU Lager
11/24/2023 00:31:00,-11.48,1.02,5.63,12.3,0.97,0.81,0.32,0.06,20.4,20.756,7,2390,,BrewIQ,SHU Lager
11/24/2023 00:51:00,-11.15,0.97,5.61,12.3,0.97,0.81,0.32,0.06,20,20.356,7,2385,,BrewIQ,SHU Lager
11/24/2023 01:11:00,-10.82,1.02,5.66,12.3,0.97,0.81,0.29,0.07,19.6,19.956,7,2382,,BrewIQ,SHU Lager
11/24/2023 01:31:00,-10.48,0.95,5.66,12.3,0.97,0.81,0.28,0.06,19.2,19.556,7,2379,,BrewIQ,SHU Lager
11/24/2023 01:51:00,-10.15,0.92,5.65,12.3,0.97,0.81,0.28,0.06,18.9,19.256,6,2404,,BrewIQ,SHU Lager
11/24/2023 02:11:00,-9.82,0.88,5.63,12.3,0.97,0.81,0.26,0.07,18.5,18.856,6,2382,,BrewIQ,SHU Lager
11/24/2023 02:31:00,-9.48,0.94,5.65,12.3,0.97,0.81,0.25,0.07,18.2,18.556,6,2384,,BrewIQ,SHU Lager
11/24/2023 02:51:00,-9.15,0.59,5.63,12.3,0.97,0.81,0.24,0.07,17.8,18.156,6,2380,,BrewIQ,SHU Lager
11/24/2023 03:11:00,-8.82,0.61,5.68,12.3,0.97,0.81,0.24,0.06,17.5,17.856,6,2378,,BrewIQ,SHU Lager
11/24/2023 03:31:00,-8.48,0.6,5.67,12.3,0.97,0.81,0.22,0.06,17.2,17.556,6,2378,,BrewIQ,SHU Lager
11/24/2023 03:51:00,-8.15,0.59,5.64,12.3,0.97,0.81,0.21,0.06,16.9,17.256,6,2379,,BrewIQ,SHU Lager
11/24/2023 04:11:00,-7.82,0.61,5.67,12.3,0.97,0.81,0.19,0.07,16.5,16.856,6,2376,,BrewIQ,SHU Lager
11/24/2023 04:31:00,-7.48,0.6,5.66,12.3,0.97,0.81,0.19,0.07,16.4,16.756,6,2386,,BrewIQ,SHU Lager
11/24/2023 04:51:00,-7.15,0.57,5.64,12.3,0.97,0.81,0.18,0.06,16.1,16.456,7,2374,,BrewIQ,SHU Lager
11/24/2023 05:11:00,-6.82,0.6,5.65,12.4,0.16,0.16,0.17,0.07,15.8,16.156,7,2376,,BrewIQ,SHU Lager
11/24/2023 05:31:00,-6.48,0.62,5.65,12.4,0.16,0.16,0.18,0.06,15.5,15.856,7,2377,,BrewIQ,SHU Lager
11/24/2023 05:51:00,-6.15,0.56,5.65,12.4,0.16,0.16,0.17,0.06,15.3,15.656,7,2379,,BrewIQ,SHU Lager
11/24/2023 06:11:00,-5.82,0.57,5.7,12.4,0.16,0.16,0.15,0.06,15,15.356,6,2379,,BrewIQ,SHU Lager
11/24/2023 06:31:00,-5.48,0.54,5.7,12.4,0.16,0.16,0.15,0.07,14.7,15.056,6,2373,,BrewIQ,SHU Lager
11/24/2023 06:51:00,-5.15,0.57,5.67,12.4,0.16,0.16,0.14,0.07,14.5,14.856,6,2385,,BrewIQ,SHU Lager
11/24/2023 07:11:00,-4.82,0.58,5.69,12.4,0.16,0.16,0.14,0.06,14.3,14.656,6,2377,,BrewIQ,SHU Lager
11/24/2023 07:31:00,-4.48,0.6,5.7,12.4,0.16,0.16,0.12,0.07,14,14.356,6,2377,,BrewIQ,SHU Lager
11/24/2023 07:51:00,-4.15,0.58,5.71,12.4,0.16,0.16,0.12,0.07,13.9,14.256,6,2376,,BrewIQ,SHU Lager
11/24/2023 08:11:00,-3.82,0.57,5.66,12.4,0.16,0.16,0.12,0.06,13.6,13.956,6,2378,,BrewIQ,SHU Lager
11/24/2023 08:31:00,-3.48,0.56,5.67,12.4,0.16,0.16,0.11,0.06,13.4,13.756,6,2373,,BrewIQ,SHU Lager
11/24/2023 08:51:00,-3.15,0.54,5.67,12.4,0.16,0.16,0.1,0.07,13.2,13.556,7,2391,,BrewIQ,SHU Lager
11/24/2023 09:11:00,-2.82,0.54,5.66,12.4,0.16,0.16,0.1,0.07,13.1,13.456,7,2384,,BrewIQ,SHU Lager
11/24/2023 09:31:00,-2.48,0.56,5.71,12.4,0.16,0.16,0.1,0.06,12.9,13.256,7,2373,,BrewIQ,SHU Lager
11/24/2023 09:51:00,-2.15,0.57,5.68,12.4,0.16,0.16,0.08,0.06,12.6,12.956,7,2388,,BrewIQ,SHU Lager
11/24/2023 10:11:00,-1.82,0.56,5.71,12.4,0.16,0.16,0.08,0.07,12.4,12.756,7,2388,,BrewIQ,SHU Lager
