Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
02/20/2025 17:14:00,-18.77,1.35,4.44,12.8,0.09,27.1,99.792,24,2262,,BrewIQ,SHU IPA
02/20/2025 17:34:00,-18.43,0.54,4.9,12.7,0.09,30.1,94.572,28,1357,,BrewIQ,SHU IPA
02/20/2025 17:54:00,-18.1,0.34,4.96,12.7,0.1,32.8,88.504,28,1367,,BrewIQ,SHU IPA
02/20/2025 18:14:00,-17.77,0.31,5,12.7,0.09,34.6,83.728,28,1364,,BrewIQ,SHU IPA
02/20/2025 18:34:00,-17.43,0.31,5.02,12.7,0.09,35.6,80.07,29,1363,,BrewIQ,SHU IPA
02/20/2025 18:54:00,-17.1,0.29,5.03,12.7,0.08,36.2,77.108,29,1363,,BrewIQ,SHU IPA
02/20/2025 19:14:00,-16.77,0.28,5.04,12.7,0.1,36.4,74.842,29,1366,,BrewIQ,SHU IPA
02/20/2025 19:34:00,-16.43,0.27,5.05,12.7,0.09,36.3,73.098,29,1363,,BrewIQ,SHU IPA
02/20/2025 19:54:00,-16.1,0.26,5.06,12.7,0.1,36.2,71.08,29,1368,,BrewIQ,SHU IPA
02/20/2025 20:14:00,-15.77,0.25,5.06,12.7,0.09,35.9,69.958,29,1369,,BrewIQ,SHU IPA
02/20/2025 20:34:00,-15.43,0.24,5.08,12.7,0.11,35.5,68.188,28,1364,,BrewIQ,SHU IPA
02/20/2025 20:54:00,-15.1,0.24,5.09,12.8,0.1,35,66.592,28,1363,,BrewIQ,SHU IPA
02/20/2025 21:14:00,-14.77,0.23,5.1,12.8,0.09,34.2,65.518,27,1362,,BrewIQ,SHU IPA
02/20/2025 21:34:00,-14.43,0.23,5.11,12.8,0.09,44.6,44.956,26,1370,,BrewIQ,SHU IPA
02/20/2025 21:54:00,-14.1,0.23,5.11,12.8,0.09,43.7,44.056,26,1359,,BrewIQ,SHU IPA
02/20/2025 22:14:00,-13.77,0.23,5.1,12.8,0.09,42.7,43.056,25,1359,,BrewIQ,SHU IPA
02/20/2025 22:34:00,-13.43,0.22,5.13,12.8,0.09,42,42.356,25,1366,,BrewIQ,SHU IPA
02/20/2025 22:54:00,-13.1,0.21,5.13,12.8,0.1,41.3,41.656,25,1375,,BrewIQ,SHU IPA
02/20/2025 23:14:00,-12.77,0.21,5.14,12.8,0.08,40.7,41.056,25,1373,,BrewIQ,SHU IPA
02/20/2025 23:34:00,-12.43,0.22,5.15,12.8,0.09,39.9,40.256,25,1353,,BrewIQ,SHU IPA
02/20/2025 23:54:00,-12.1,0.22,5.14,12.8,0.1,39,39.356,25,1367,,BrewIQ,SHU IPA
02/21/2025 00:14:00,-11.77,0.22,5.16,12.8,0.1,38.1,38.456,24,1387,,BrewIQ,SHU IPA
02/21/2025 00:34:00,-11.43,0.22,5.16,12.8,0.09,37.3,37.656,24,1360,,BrewIQ,SHU IPA
02/21/2025 00:54:00,-11.1,0.23,5.16,12.8,0.1,36.6,36.956,24,1330,,BrewIQ,SHU IPA
02/21/2025 01:14:00,-10.77,0.23,5.18,12.8,0.1,35.9,36.256,24,1378,,BrewIQ,SHU IPA
02/21/2025 01:34:00,-10.43,0.24,5.19,12.8,0.1,35.2,35.556,24,1376,,BrewIQ,SHU IPA
02/21/2025 01:54:00,-10.1,0.25,5.2,12.8,0.1,34.5,34.856,24,1375,,BrewIQ,SHU IPA
02/21/2025 02:14:00,-9.77,0.24,5.2,12.8,0.08,33.8,34.156,24,1378,,BrewIQ,SHU IPA
02/21/2025 02:34:00,-9.43,0.24,5.22,12.8,0.08,33.1,33.456,24,1365,,BrewIQ,SHU IPA
02/21/2025 02:54:00,-9.1,0.24,5.2,12.8,0.09,32.5,32.856,23,1364,,BrewIQ,SHU IPA
02/21/2025 03:14:00,-8.77,0.25,5.22,12.8,0.1,31.8,32.156,24,1367,,BrewIQ,SHU IPA
02/21/2025 03:34:00,-8.43,0.25,5.22,12.8,0.09,31.3,31.656,24,1384,,BrewIQ,SHU IPA
02/21/2025 03:54:00,-8.1,0.25,5.23,12.8,0.09,30.6,30.956,24,1374,,BrewIQ,SHU IPA
02/21/2025 04:14:00,-7.77,0.25,5.25,12.8,0.1,30,30.356,24,1380,,BrewIQ,SHU IPA
02/21/2025 04:34:00,-7.43,0.25,5.25,12.8,0.09,29.4,29.756,23,1401,,BrewIQ,SHU IPA
02/21/2025 04:54:00,-7.1,0.25,5.26,12.8,0.1,28.8,29.156,23,1383,,BrewIQ,SHU IPA
02/21/2025 05:14:00,-6.77,0.26,5.24,12.8,0.09,28.3,28.656,23,1392,,BrewIQ,SHU IPA
02/21/2025 05:34:00,-6.43,0.25,5.25,12.8,0.09,27.8,28.156,24,1392,,BrewIQ,SHU IPA
02/21/2025 05:54:00,-6.1,0.26,5.24,12.8,0.09,27.2,27.556,24,1387,,BrewIQ,SHU IPA
02/21/2025 06:14:00,-5.77,0.26,5.26,12.8,0.09,26.7,27.056,23,1390,,BrewIQ,SHU IPA
02/21/2025 06:34:00,-5.43,0.26,5.28,12.8,0.1,26.2,26.556,23,1385,,BrewIQ,SHU IPA
02/21/2025 06:54:00,-5.1,0.27,5.27,12.8,0.09,25.7,26.056,23,1375,,BrewIQ,SHU IPA
02/21/2025 07:14:00,-4.77,0.27,5.27,12.8,0.1,25.2,25.556,23,1384,,BrewIQ,SHU IPA
02/21/2025 07:34:00,-4.43,0.26,5.26,12.8,0.09,24.7,25.056,23,1384,,BrewIQ,SHU IPA
02/21/2025 07:54:00,-4.1,0.27,5.3,12.8,0.09,24.3,24.656,23,1388,,BrewIQ,SHU IPA
02/21/2025 08:14:00,-3.77,0.27,5.31,12.8,0.09,23.9,24.256,24,1388,,BrewIQ,SHU IPA
02/21/2025 08:34:00,-3.43,0.27,5.29,12.8,0.09,23.4,23.756,24,1404,,BrewIQ,SHU IPA
02/21/2025 08:54:00,-3.1,0.27,5.31,12.8,0.09,23,23.356,24,1377,,BrewIQ,SHU IPA
02/21/2025 09:14:00,-2.77,0.27,5.31,12.8,0.1,22.6,22.956,24,1377,,BrewIQ,SHU IPA
02/21/2025 09:34:00,-2.43,0.28,5.31,12.8,0.09,22.2,22.556,24,1407,,BrewIQ,SHU IPA
02/21/2025 09:54:00,-2.1,0.28,5.3,12.8,0.09,21.8,22.156,24,1427,,BrewIQ,SHU IPA
02/21/2025 10:14:00,-1.77,0.28,5.29,12.8,0.09,21.7,22.056,24,1444,,BrewIQ,SHU IPA
02/21/2025 10:34:00,-1.43,0.28,5.31,12.8,0.09,21.7,22.056,24,1414,,BrewIQ,SHU IPA
02/21/2025 10:54:00,-1.1,0.28,5.29,12.8,0.09,21.8,22.156,24,1445,,BrewIQ,SHU IPA
02/21/2025 11:14:00,-0.77,0.28,5.29,12.8,0.09,21.8,22.156,24,1454,,BrewIQ,SHU IPA
02/21/2025 11:34:00,-0.43,0.28,5.32,12.8,0.1,21.8,22.156,24,1453,,BrewIQ,SHU IPA
02/21/2025 11:54:00,-0.1,0.27,5.31,12.8,0.1,21.9,22.256,24,1455,,BrewIQ,SHU IPA
02/21/2025 12:14:00,0.23,0.27,5.31,12.8,0.1,21.9,22.256,24,1454,,BrewIQ,SHU IPA
02/21/2025 12:34:00,0.57,0.28,5.33,12.8,0.08,22.1,22.456,24,1457,,BrewIQ,SHU IPA
02/21/2025 12:54:00,0.9,0.28,5.3,12.8,0.08,21.5,21.856,24,1357,,BrewIQ,SHU IPA
02/21/2025 13:14:00,1.23,0.28,5.29,12.8,0.08,21.4,21.756,24,1454,,BrewIQ,SHU IPA
02/21/2025 13:34:00,1.57,0.28,5.26,12.8,0.09,21.2,21.556,24,1440,,BrewIQ,SHU IPA
02/21/2025 13:54:00,1.9,0.28,5.25,12.8,0.09,21.3,21.656,24,1467,,BrewIQ,SHU IPA
02/21/2025 14:14:00,2.23,0.28,5.24,12.8,0.09,21.4,21.756,24,1461,,BrewIQ,SHU IPA
02/21/2025 14:34:00,2.57,0.28,5.22,12.8,0.08,21.6,21.956,24,1454,,BrewIQ,SHU IPA
02/21/2025 14:54:00,2.9,0.28,5.2,12.8,0.09,21.7,22.056,25,1470,,BrewIQ,SHU IPA
02/21/2025 15:14:00,3.23,0.27,5.21,12.8,0.08,21.8,22.156,25,1468,,BrewIQ,SHU IPA
02/21/2025 15:34:00,3.57,0.27,5.19,12.8,0.08,21.8,22.156,25,1470,,BrewIQ,SHU IPA
02/21/2025 15:54:00,3.9,0.28,5.13,12.8,0.08,21.9,22.256,25,1473,,BrewIQ,SHU IPA
