Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
01/16/2025 15:14:00,-19.77,1.91,4.3,12.2,6.73,5.89,1.88,0.08,22.9,93.4,23,1167,,BrewIQ,Mixed-Culture 25
01/16/2025 15:34:00,-19.43,0.97,4.85,13,0.61,0.76,1.54,0.08,25.8,85.888,24,833,,BrewIQ,Mixed-Culture 25
01/16/2025 15:54:00,-19.1,0.41,4.97,12.9,1.38,1.15,1.55,0.09,28.4,79.72,24,854,,BrewIQ,Mixed-Culture 25
01/16/2025 16:14:00,-18.77,0.31,5.02,12.9,1.38,1.15,1.55,0.09,30.1,75.392,25,857,,BrewIQ,Mixed-Culture 25
01/16/2025 16:34:00,-18.43,0.3,5.02,12.9,1.38,1.15,1.48,0.09,31.2,71.834,25,888,,BrewIQ,Mixed-Culture 25
01/16/2025 16:54:00,-18.1,0.29,5.05,12.9,1.38,1.15,1.47,0.09,31.8,68.598,26,900,,BrewIQ,Mixed-Culture 25
01/16/2025 17:14:00,-17.77,0.28,5.06,12.9,1.38,1.15,1.43,0.09,44.3,44.656,26,889,,BrewIQ,Mixed-Culture 25
01/16/2025 17:34:00,-17.43,0.28,5.06,12.9,1.38,1.15,1.37,0.09,43.6,43.956,26,909,,BrewIQ,Mixed-Culture 25
01/16/2025 17:54:00,-17.1,0.26,5.07,12.9,1.38,1.15,1.33,0.1,42.9,43.256,26,905,,BrewIQ,Mixed-Culture 25
01/16/2025 18:14:00,-16.77,0.26,5.08,12.9,1.38,1.15,1.29,0.09,42.1,42.456,26,910,,BrewIQ,Mixed-Culture 25
01/16/2025 18:34:00,-16.43,0.25,5.1,12.9,1.38,1.15,1.25,0.09,41.3,41.656,26,919,,BrewIQ,Mixed-Culture 25
01/16/2025 18:54:00,-16.1,0.25,5.11,12.9,1.38,1.15,1.22,0.09,40.7,41.056,26,915,,BrewIQ,Mixed-Culture 25
01/16/2025 19:14:00,-15.77,0.25,5.12,12.9,1.38,1.15,1.17,0.08,39.9,40.256,25,919,,BrewIQ,Mixed-Culture 25
01/16/2025 19:34:00,-15.43,0.24,5.12,12.9,1.38,1.15,1.14,0.09,39.2,39.556,25,928,,BrewIQ,Mixed-Culture 25
01/16/2025 19:54:00,-15.1,0.24,5.13,13,0.61,0.76,1.1,0.09,38.4,38.756,25,939,,BrewIQ,Mixed-Culture 25
01/16/2025 20:14:00,-14.77,0.24,5.14,13,0.61,0.76,1.04,0.1,37.7,38.056,25,931,,BrewIQ,Mixed-Culture 25
01/16/2025 20:34:00,-14.43,0.25,5.14,13,0.61,0.76,1,0.09,36.9,37.256,25,936,,BrewIQ,Mixed-Culture 25
01/16/2025 20:54:00,-14.1,0.24,5.14,13,0.61,0.76,0.97,0.09,36.2,36.556,25,936,,BrewIQ,Mixed-Culture 25
01/16/2025 21:14:00,-13.77,0.24,5.16,13,0.61,0.76,0.93,0.08,35.4,35.756,25,939,,BrewIQ,Mixed-Culture 25
01/16/2025 21:34:00,-13.43,0.25,5.17,13,0.61,0.76,0.9,0.09,34.7,35.056,25,943,,BrewIQ,Mixed-Culture 25
01/16/2025 21:54:00,-13.1,0.25,5.17,13,0.61,0.76,0.85,0.08,34,34.356,24,947,,BrewIQ,Mixed-Culture 25
01/16/2025 22:14:00,-12.77,0.25,5.19,13,0.61,0.76,0.83,0.09,33.3,33.656,24,948,,BrewIQ,Mixed-Culture 25
01/16/2025 22:34:00,-12.43,0.25,5.19,13,0.61,0.76,0.81,0.09,32.7,33.056,24,952,,BrewIQ,Mixed-Culture 25
01/16/2025 22:54:00,-12.1,0.25,5.19,13,0.61,0.76,0.76,0.09,32,32.356,24,961,,BrewIQ,Mixed-Culture 25
01/16/2025 23:14:00,-11.77,0.26,5.19,13,0.61,0.76,0.74,0.09,31.4,31.756,24,953,,BrewIQ,Mixed-Culture 25
01/16/2025 23:34:00,-11.43,0.26,5.21,13,0.61,0.76,0.71,0.09,30.8,31.156,24,953,,BrewIQ,Mixed-Culture 25
01/16/2025 23:54:00,-11.1,0.26,5.21,13,0.61,0.76,0.68,0.09,30.2,30.556,24,954,,BrewIQ,Mixed-Culture 25
01/17/2025 00:14:00,-10.77,0.26,5.23,13,0.61,0.76,0.65,0.1,29.6,29.956,24,959,,BrewIQ,Mixed-Culture 25
01/17/2025 00:34:00,-10.43,0.26,5.23,13,0.61,0.76,0.63,0.09,29,29.356,24,962,,BrewIQ,Mixed-Culture 25
01/17/2025 00:54:00,-10.1,0.25,5.24,13,0.61,0.76,0.61,0.08,28.4,28.756,24,963,,BrewIQ,Mixed-Culture 25
01/17/2025 01:14:00,-9.77,0.26,5.26,13,0.61,0.76,0.58,0.09,27.9,28.256,24,968,,BrewIQ,Mixed-Culture 25
