Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
11/07/2024 15:32,-19.47,0.95,4.83,12.4,0.08,34.7,35.056,22,1969,,BrewIQ,SHU Lager
11/07/2024 15:52,-19.13,0.71,5.31,12.7,0.08,34,34.356,22,1774,,BrewIQ,SHU Lager
11/07/2024 16:12,-18.8,0.38,5.39,12.7,0.08,33.4,33.756,22,1755,,BrewIQ,SHU Lager
11/07/2024 16:32,-18.47,0.36,5.41,12.7,0.09,32.8,33.156,22,1752,,BrewIQ,SHU Lager
11/07/2024 16:52,-18.13,0.34,5.42,12.7,0.09,32.2,32.556,22,1746,,BrewIQ,SHU Lager
11/07/2024 17:12,-17.8,0.31,5.43,12.7,0.09,31.5,31.856,22,1744,,BrewIQ,SHU Lager
11/07/2024 17:32,-17.47,0.31,5.46,12.7,0.09,30.9,31.256,23,1739,,BrewIQ,SHU Lager
11/07/2024 17:52,-17.13,0.29,5.47,12.7,0.09,30.3,30.656,23,1734,,BrewIQ,SHU Lager
11/07/2024 18:12,-16.8,0.29,5.46,12.7,0.09,29.7,30.056,23,1729,,BrewIQ,SHU Lager
11/07/2024 18:32,-16.47,0.29,5.48,12.7,0.09,29.1,29.456,23,1728,,BrewIQ,SHU Lager
11/07/2024 18:52,-16.13,0.29,5.47,12.7,0.09,28.5,28.856,23,1725,,BrewIQ,SHU Lager
11/07/2024 19:12,-15.8,0.29,5.48,12.7,0.09,27.9,28.256,23,1726,,BrewIQ,SHU Lager
11/07/2024 19:32,-15.47,0.29,5.49,12.7,0.08,27.4,27.756,22,1721,,BrewIQ,SHU Lager
11/07/2024 19:52,-15.13,0.29,5.49,12.7,0.09,26.8,27.156,22,1721,,BrewIQ,SHU Lager
11/07/2024 20:12,-14.8,0.29,5.53,12.7,0.09,26.3,26.656,22,1717,,BrewIQ,SHU Lager
11/07/2024 20:32,-14.47,0.3,5.53,12.7,0.09,25.8,26.156,22,1715,,BrewIQ,SHU Lager
11/07/2024 20:52,-14.13,0.3,5.52,12.7,0.09,25.2,25.556,22,1718,,BrewIQ,SHU Lager
11/07/2024 21:12,-13.8,0.3,5.53,12.7,0.09,24.7,25.056,22,1715,,BrewIQ,SHU Lager
11/07/2024 21:32,-13.47,0.29,5.55,12.7,0.08,24.2,24.556,22,1713,,BrewIQ,SHU Lager
11/07/2024 21:52,-13.13,0.3,5.56,12.7,0.09,23.7,24.056,22,1709,,BrewIQ,SHU Lager
11/07/2024 22:12,-12.8,0.3,5.54,12.7,0.09,23.2,23.556,22,1710,,BrewIQ,SHU Lager
11/07/2024 22:32,-12.47,0.3,5.54,12.7,0.09,22.8,23.156,22,1708,,BrewIQ,SHU Lager
11/07/2024 22:52,-12.13,0.3,5.54,12.7,0.09,22.3,22.656,22,1703,,BrewIQ,SHU Lager
11/07/2024 23:12,-11.8,0.31,5.58,12.7,0.09,21.9,22.256,22,1707,,BrewIQ,SHU Lager
11/07/2024 23:32,-11.47,0.31,5.55,12.7,0.09,21.9,22.256,22,1714,,BrewIQ,SHU Lager
11/07/2024 23:52,-11.13,0.32,5.53,12.7,0.09,21.8,22.156,22,1717,,BrewIQ,SHU Lager
11/08/2024 00:12,-10.8,0.31,5.54,12.7,0.09,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 00:32,-10.47,0.32,5.54,12.7,0.09,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 00:52,-10.13,0.31,5.56,12.7,0.09,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 01:12,-9.8,0.31,5.54,12.7,0.09,21.8,22.156,22,1716,,BrewIQ,SHU Lager
11/08/2024 01:32,-9.47,0.31,5.58,12.7,0.09,21.8,22.156,22,1716,,BrewIQ,SHU Lager
11/08/2024 01:52,-9.13,0.31,5.55,12.7,0.08,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 02:12,-8.8,0.31,5.54,12.7,0.09,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 02:32,-8.47,0.31,5.57,12.7,0.09,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 02:52,-8.13,0.31,5.56,12.7,0.09,21.8,22.156,22,1714,,BrewIQ,SHU Lager
11/08/2024 03:12,-7.8,0.31,5.56,12.7,0.08,21.8,22.156,22,1714,,BrewIQ,SHU Lager
11/08/2024 03:32,-7.47,0.31,5.56,12.7,0.09,21.8,22.156,22,1713,,BrewIQ,SHU Lager
11/08/2024 03:52,-7.13,0.31,5.58,12.7,0.08,21.8,22.156,22,1713,,BrewIQ,SHU Lager
11/08/2024 04:12,-6.8,0.31,5.55,12.7,0.09,21.8,22.156,22,1715,,BrewIQ,SHU Lager
11/08/2024 04:32,-6.47,0.31,5.54,12.7,0.09,21.8,22.156,22,1712,,BrewIQ,SHU Lager
11/08/2024 04:52,-6.13,0.31,5.57,12.7,0.09,21.8,22.156,22,1711,,BrewIQ,SHU Lager
11/08/2024 05:12,-5.8,0.31,5.58,12.7,0.08,21.8,22.156,22,1714,,BrewIQ,SHU Lager
11/08/2024 05:32,-5.47,0.3,5.57,12.7,0.09,21.8,22.156,22,1710,,BrewIQ,SHU Lager
11/08/2024 05:52,-5.13,0.3,5.54,12.7,0.09,21.8,22.156,22,1710,,BrewIQ,SHU Lager
11/08/2024 06:12,-4.8,0.31,5.58,12.7,0.09,21.8,22.156,22,1709,,BrewIQ,SHU Lager
11/08/2024 06:32,-4.47,0.31,5.55,12.7,0.09,21.8,22.156,22,1711,,BrewIQ,SHU Lager
11/08/2024 06:52,-4.13,0.3,5.54,12.7,0.08,21.8,22.156,22,1710,,BrewIQ,SHU Lager
11/08/2024 07:12,-3.8,0.3,5.55,12.7,0.08,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 07:32,-3.47,0.31,5.57,12.7,0.09,21.8,22.156,22,1710,,BrewIQ,SHU Lager
11/08/2024 07:52,-3.13,0.3,5.54,12.7,0.09,21.8,22.156,22,1710,,BrewIQ,SHU Lager
11/08/2024 08:12,-2.8,0.3,5.53,12.7,0.09,21.8,22.156,22,1709,,BrewIQ,SHU Lager
11/08/2024 08:32,-2.47,0.3,5.53,12.7,0.08,21.8,22.156,22,1710,,BrewIQ,SHU Lager
11/08/2024 08:52,-2.13,0.3,5.55,12.7,0.09,21.8,22.156,22,1709,,BrewIQ,SHU Lager
11/08/2024 09:12,-1.8,0.3,5.54,12.7,0.09,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 09:32,-1.47,0.3,5.53,12.7,0.09,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 09:52,-1.13,0.3,5.54,12.7,0.09,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 10:12,-0.8,0.29,5.53,12.7,0.08,21.8,22.156,22,1707,,BrewIQ,SHU Lager
11/08/2024 10:32,-0.47,0.29,5.53,12.7,0.08,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 10:52,-0.13,0.3,5.51,12.7,0.09,21.8,22.156,22,1707,,BrewIQ,SHU Lager
11/08/2024 11:12,0.2,0.29,5.53,12.7,0.08,21.8,22.156,22,1709,,BrewIQ,SHU Lager
11/08/2024 11:32,0.53,0.29,5.52,12.7,0.09,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 11:52,0.87,0.29,5.53,12.7,0.08,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 12:12,1.2,0.29,5.54,12.7,0.09,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 12:32,1.53,0.29,5.5,12.7,0.09,21.8,22.156,22,1708,,BrewIQ,SHU Lager
11/08/2024 12:52,1.87,0.29,5.52,12.7,0.09,21.8,22.156,22,1709,,BrewIQ,SHU Lager
11/08/2024 13:12,2.2,0.29,5.51,12.7,0.08,21.8,22.156,22,1709,,BrewIQ,SHU Lager
11/08/2024 13:32,2.53,0.29,5.48,12.7,0.08,21.8,22.156,22,1711,,BrewIQ,SHU Lager
11/08/2024 13:52,2.87,0.29,5.5,12.7,0.08,21.8,22.156,22,1711,,BrewIQ,SHU Lager
11/08/2024 14:12,3.2,0.28,5.46,12.7,0.09,21.8,22.156,22,1711,,BrewIQ,SHU Lager
11/08/2024 14:32,3.53,0.28,5.47,12.7,0.08,21.8,22.156,22,1712,,BrewIQ,SHU Lager
11/08/2024 14:52,3.87,0.29,5.47,12.7,0.09,21.8,22.156,22,1713,,BrewIQ,SHU Lager
11/08/2024 15:12,4.2,0.28,5.42,12.7,0.09,21.8,22.156,22,1714,,BrewIQ,SHU Lager
11/08/2024 15:32,4.53,0.28,5.42,12.7,0.09,21.7,22.056,22,1715,,BrewIQ,SHU Lager
11/08/2024 15:52,4.87,0.29,5.4,12.7,0.08,21.7,22.056,22,1718,,BrewIQ,SHU Lager
11/08/2024 16:12,5.2,0.29,5.38,12.7,0.08,21.7,22.056,22,1719,,BrewIQ,SHU Lager
11/08/2024 16:32,5.53,0.28,5.38,12.7,0.09,21.8,22.156,22,1720,,BrewIQ,SHU Lager
11/08/2024 16:52,5.87,0.28,5.38,12.7,0.09,21.7,22.056,22,1722,,BrewIQ,SHU Lager
11/08/2024 17:12,6.2,0.28,5.37,12.7,0.09,21.8,22.156,22,1724,,BrewIQ,SHU Lager
11/08/2024 17:32,6.53,0.28,5.34,12.7,0.09,21.8,22.156,22,1723,,BrewIQ,SHU Lager
11/08/2024 17:52,6.87,0.28,5.31,12.7,0.08,21.8,22.156,22,1726,,BrewIQ,SHU Lager
11/08/2024 18:12,7.2,0.28,5.31,12.7,0.09,21.8,22.156,22,1730,,BrewIQ,SHU Lager
11/08/2024 18:32,7.53,0.28,5.25,12.7,0.09,21.8,22.156,22,1735,,BrewIQ,SHU Lager
11/08/2024 18:52,7.87,0.28,5.26,12.7,0.09,21.8,22.156,22,1740,,BrewIQ,SHU Lager
11/08/2024 19:12,8.2,0.28,5.24,12.7,0.08,21.8,22.156,22,1742,,BrewIQ,SHU Lager
11/08/2024 19:32,8.53,0.28,5.22,12.7,0.08,21.8,22.156,22,1745,,BrewIQ,SHU Lager
11/08/2024 19:52,8.87,0.28,5.19,12.7,0.09,21.8,22.156,22,1748,,BrewIQ,SHU Lager
