Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
09/09/2022 14:44,-1.77,2.53,5.46,11.6,-1005.5,-824.43,0,0.06,36.6,,21,2568,,BrewIQ,SHU IPA
09/09/2022 14:54,-1.6,1.55,5.48,,-1005.5,-824.43,0,0.06,35.1,,20,2552,,BrewIQ,SHU IPA
09/09/2022 15:04,-1.43,1.3,5.5,,-1005.5,-824.43,0,0.06,32.8,,21,2533,,BrewIQ,SHU IPA
09/09/2022 15:15,-1.25,1.2,5.51,11.8,-1024.56,-840.63,0,0.06,30.8,,22,2516,,BrewIQ,SHU IPA
09/09/2022 15:25,-1.08,1.1,5.53,,-1024.56,-840.63,0,0.06,29.3,,21,2506,,BrewIQ,SHU IPA
09/09/2022 15:35,-0.92,1.03,5.54,,-1024.56,-840.63,0,0.06,27.9,,22,2495,,BrewIQ,SHU IPA
09/09/2022 15:45,-0.75,0.98,5.54,12.1,-1053.15,-863.5,0,0.06,26.8,,22,2489,,BrewIQ,SHU IPA
09/09/2022 15:55,-0.58,0.94,5.55,,-1053.15,-863.5,0,0.06,25.9,,21,2483,,BrewIQ,SHU IPA
09/09/2022 16:05,-0.42,0.9,5.55,,-1053.15,-863.5,0,0.06,25.1,,21,2482,,BrewIQ,SHU IPA
09/09/2022 16:15,-0.25,0.87,5.55,12.2,-1062.68,-872.08,0,0.06,24.4,,21,2476,,BrewIQ,SHU IPA
09/09/2022 16:25,-0.08,0.85,5.55,,-1062.68,-872.08,0,0.06,23.8,,21,2475,,BrewIQ,SHU IPA
09/09/2022 16:35,0.08,0.8,5.55,,-1062.68,-872.08,0,0.06,23.3,,21,2474,,BrewIQ,SHU IPA
09/09/2022 16:45,0.25,0.78,5.55,12.2,-1062.68,-872.08,0,0.06,23.1,,20,2476,,BrewIQ,SHU IPA
09/09/2022 16:55,0.42,0.75,5.54,,-1062.68,-872.08,0,0.06,23,,20,2481,,BrewIQ,SHU IPA
09/09/2022 17:05,0.58,0.72,5.54,,-1062.68,-872.08,0,0.06,23,,20,2478,,BrewIQ,SHU IPA
09/09/2022 17:15,0.75,0.69,5.54,12.2,-1062.68,-872.08,0,0.06,22.9,,20,2478,,BrewIQ,SHU IPA
09/09/2022 17:25,0.92,0.69,5.54,,-1062.68,-872.08,0,0.06,22.8,,20,2483,,BrewIQ,SHU IPA
09/09/2022 17:35,1.08,0.68,5.54,,-1062.68,-872.08,0,0.06,22.9,,20,2477,,BrewIQ,SHU IPA
09/09/2022 17:45,1.25,0.68,5.53,12.2,-1062.68,-872.08,0,0.06,22.8,,20,2476,,BrewIQ,SHU IPA
09/09/2022 17:55,1.42,0.67,5.54,,-1062.68,-872.08,0,0.06,22.8,,20,2473,,BrewIQ,SHU IPA
09/09/2022 18:05,1.58,0.68,5.54,,-1062.68,-872.08,0,0.06,22.8,,20,2474,,BrewIQ,SHU IPA
09/09/2022 18:15,1.75,0.68,5.54,12.2,-1062.68,-872.08,0,0.06,22.7,,20,2476,,BrewIQ,SHU IPA
09/09/2022 18:25,1.92,0.68,5.53,,-1062.68,-872.08,0,0.06,22.7,,20,2474,,BrewIQ,SHU IPA
09/09/2022 18:35,2.08,0.69,5.53,,-1062.68,-872.08,0,0.06,22.6,,20,2475,,BrewIQ,SHU IPA
09/09/2022 18:45,2.25,0.71,5.53,12.2,-1062.68,-872.08,0,0.06,22.6,,20,2477,,BrewIQ,SHU IPA
09/09/2022 18:55,2.42,0.7,5.53,,-1062.68,-872.08,0,0.06,22.6,,20,2471,,BrewIQ,SHU IPA
