Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
08/24/2023 15:08:00,-0.37,3.88,4.97,12.4,0.32,0.32,0.47,0.07,26.4,26.756,23,2692,,BrewIQ,Mixed-Culture 25
08/24/2023 15:22:00,-0.13,1.43,5.24,12.4,0.32,0.32,0.43,0.08,25.3,24.56,21,2452,,BrewIQ,Mixed-Culture 25
08/24/2023 15:27:00,-0.05,1.31,5.28,12.4,0.32,0.32,0.42,0.07,24.9,24.16,21,2487,,BrewIQ,Mixed-Culture 25
08/24/2023 15:28:00,-0.03,1.26,5.3,12.4,0.32,0.32,0.42,0.07,24.8,24.06,21,2501,,BrewIQ,Mixed-Culture 25
08/24/2023 15:32:00,0.03,1.22,5.3,12.4,0.32,0.32,0.4,0.08,24.5,23.486,21,2484,,BrewIQ,Mixed-Culture 25
08/24/2023 15:41:00,0.18,1.13,5.33,12.4,0.32,0.32,0.37,0.08,23.8,22.786,20,2466,,BrewIQ,Mixed-Culture 25
08/24/2023 15:46:00,0.27,1.08,5.34,12.4,0.32,0.32,0.36,0.07,23.5,22.76,20,2487,,BrewIQ,Mixed-Culture 25
08/24/2023 15:48:00,0.3,1.03,5.34,12.4,0.32,0.32,0.35,0.07,23.4,22.386,20,2495,,BrewIQ,Mixed-Culture 25
08/24/2023 16:00:00,0.5,0.96,5.36,12.4,0.32,0.32,0.32,0.07,22.8,21.512,20,2462,,BrewIQ,Mixed-Culture 25
08/24/2023 16:08:00,0.63,0.92,5.37,12.4,0.32,0.32,0.31,0.07,22.4,21.386,20,2476,,BrewIQ,Mixed-Culture 25
08/24/2023 16:24:00,0.9,0.85,5.38,12.4,0.32,0.32,0.31,0.07,22.2,21.186,20,2480,,BrewIQ,Mixed-Culture 25
08/24/2023 16:28:00,0.97,0.81,5.37,12.4,0.32,0.32,0.31,0.07,22.2,21.46,20,2495,,BrewIQ,Mixed-Culture 25
08/24/2023 16:48:00,1.3,0.77,5.37,12.4,0.32,0.32,0.31,0.07,22.1,21.36,20,2485,,BrewIQ,Mixed-Culture 25
08/24/2023 17:08:00,1.63,0.7,5.4,12.4,0.32,0.32,0.31,0.07,22,21.534,20,2484,,BrewIQ,Mixed-Culture 25
08/24/2023 17:28:00,1.97,0.62,5.4,12.4,0.32,0.32,0.31,0.08,22,21.26,20,2488,,BrewIQ,Mixed-Culture 25
