Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
06/13/2024 14:42:00,-21.3,4.11,4.69,11.8,0.07,39.5,39.856,21,25,,BrewIQ,Mixed-Culture 50
06/13/2024 15:02:00,-20.97,2.18,4.81,12.4,0.06,39.2,39.556,21,18,,BrewIQ,Mixed-Culture 50
06/13/2024 15:22:00,-20.63,1.11,4.95,12.4,0.07,38.4,38.756,21,15,,BrewIQ,Mixed-Culture 50
06/13/2024 15:42:00,-20.3,1.12,5.02,12.4,0.06,37.6,37.956,22,17,,BrewIQ,Mixed-Culture 50
06/13/2024 16:02:00,-19.97,1.1,5.05,12.4,0.07,36.7,37.056,22,21,,BrewIQ,Mixed-Culture 50
06/13/2024 16:22:00,-19.63,0.84,5.07,12.4,0.07,35.8,36.156,22,11,,BrewIQ,Mixed-Culture 50
06/13/2024 16:42:00,-19.3,0.74,5.13,12.4,0.06,35,35.356,22,12,,BrewIQ,Mixed-Culture 50
06/13/2024 17:02:00,-18.97,0.71,5.15,12.4,0.07,34.1,34.456,22,10,,BrewIQ,Mixed-Culture 50
06/13/2024 17:22:00,-18.63,0.66,5.17,12.4,0.06,33.3,33.656,22,737,,BrewIQ,Mixed-Culture 50
06/13/2024 17:42:00,-18.3,0.6,5.15,12.4,0.07,32.5,32.856,22,12,,BrewIQ,Mixed-Culture 50
06/13/2024 18:02:00,-17.97,0.57,5.19,12.4,0.07,31.8,32.156,22,1842,,BrewIQ,Mixed-Culture 50
06/13/2024 18:22:00,-17.63,0.51,5.21,12.4,0.06,30.9,31.256,22,10,,BrewIQ,Mixed-Culture 50
06/13/2024 18:42:00,-17.3,0.51,5.28,12.4,0.06,30.3,30.656,22,8,,BrewIQ,Mixed-Culture 50
06/13/2024 19:02:00,-16.97,0.5,5.19,12.4,0.06,29.5,29.856,22,6,,BrewIQ,Mixed-Culture 50
06/13/2024 19:22:00,-16.63,0.49,5.27,12.4,0.06,28.8,29.156,21,6,,BrewIQ,Mixed-Culture 50
06/13/2024 19:42:00,-16.3,0.47,5.28,12.4,0.07,28.2,28.556,21,21,,BrewIQ,Mixed-Culture 50
06/13/2024 20:02:00,-15.97,0.48,5.23,12.4,0.07,27.5,27.856,21,240,,BrewIQ,Mixed-Culture 50
